"","words","pos","stemmed","type","pattern"
"5","abasement","anypos","y","strongsubj","^abasement$"
"11","abhor","anypos","y","strongsubj","^abhor$"
"16","abhorrently","anypos","n","strongsubj","^abhorrently$"
"25","abominably","anypos","n","strongsubj","^abominably$"
"33","absentee","anypos","y","weaksubj","^absentee$"
"37","absurdly","anypos","n","strongsubj","^absurdly$"
"46","abysmally","anypos","n","strongsubj","^abysmally$"
"58","accusing","anypos","n","strongsubj","^accusing$"
"59","accusingly","anypos","n","strongsubj","^accusingly$"
"65","acridly","anypos","n","strongsubj","^acridly$"
"68","acrimoniously","anypos","n","strongsubj","^acrimoniously$"
"71","adamantly","anypos","n","strongsubj","^adamantly$"
"75","admonisher","anypos","y","strongsubj","^admonisher$"
"76","admonishingly","anypos","y","strongsubj","^admonishingly$"
"77","admonishment","anypos","y","strongsubj","^admonishment$"
"79","adrift","anypos","n","weaksubj","^adrift$"
"81","adulterated","anypos","n","strongsubj","^adulterated$"
"94","against","anypos","n","weaksubj","^against$"
"100","aggressive","anypos","y","strongsubj","^aggressive$"
"113","agonizing","anypos","y","strongsubj","^agonizing$"
"114","agonizingly","anypos","n","strongsubj","^agonizingly$"
"126","alarmingly","anypos","n","strongsubj","^alarmingly$"
"127","alas","anypos","y","strongsubj","^alas$"
"131","allegation","anypos","n","strongsubj","^allegation$"
"138","although","anypos","y","weaksubj","^although$"
"141","ambivalence","anypos","y","strongsubj","^ambivalence$"
"146","amiss","anypos","n","strongsubj","^amiss$"
"156","angrily","anypos","y","strongsubj","^angrily$"
"157","angriness","anypos","y","strongsubj","^angriness$"
"168","annoying","anypos","y","strongsubj","^annoying$"
"169","annoyingly","anypos","n","strongsubj","^annoyingly$"
"198","anxious","anypos","n","strongsubj","^anxious$"
"199","anxiously","anypos","n","strongsubj","^anxiously$"
"214","appall","anypos","y","strongsubj","^appall$"
"218","appallingly","anypos","n","strongsubj","^appallingly$"
"224","apprehensively","anypos","y","strongsubj","^apprehensively$"
"229","arduously","anypos","n","strongsubj","^arduously$"
"233","argumentative","anypos","y","strongsubj","^argumentative$"
"238","arrogant","anypos","y","strongsubj","^arrogant$"
"239","arrogantly","anypos","n","strongsubj","^arrogantly$"
"240","arrogantly","anypos","y","strongsubj","^arrogantly$"
"256","asunder","anypos","n","strongsubj","^asunder$"
"264","audaciously","anypos","n","strongsubj","^audaciously$"
"279","averse","anypos","n","strongsubj","^averse$"
"284","awful","anypos","n","strongsubj","^awful$"
"285","awfully","anypos","n","strongsubj","^awfully$"
"286","awfulness","anypos","y","strongsubj","^awfulness$"
"293","backbiting","anypos","n","strongsubj","^backbiting$"
"301","baffling","anypos","n","strongsubj","^baffling$"
"305","banal","anypos","y","strongsubj","^banal$"
"317","barbarically","anypos","n","strongsubj","^barbarically$"
"321","barbarous","anypos","y","strongsubj","^barbarous$"
"322","barbarously","anypos","n","strongsubj","^barbarously$"
"323","barely","anypos","y","weaksubj","^barely$"
"327","bastard","anypos","y","strongsubj","^bastard$"
"358","belittling","anypos","y","strongsubj","^belittling$"
"363","belligerent","anypos","y","strongsubj","^belligerent$"
"364","belligerently","anypos","n","strongsubj","^belligerently$"
"372","bereft","anypos","n","strongsubj","^bereft$"
"388","bewildering","anypos","n","strongsubj","^bewildering$"
"389","bewilderingly","anypos","n","strongsubj","^bewilderingly$"
"400","bickering","anypos","n","strongsubj","^bickering$"
"405","bitingly","anypos","n","strongsubj","^bitingly$"
"407","bitterly","anypos","n","strongsubj","^bitterly$"
"414","blah","anypos","y","strongsubj","^blah$"
