words,pos,stemmed,type,postag,pattern
abandoned,adj,n,weaksubj,_jj,^abandoned_jj
abandonment,noun,n,weaksubj,_nn,^abandonment_nn
aberration,adj,n,strongsubj,_jj,^aberration_jj
aberration,noun,n,strongsubj,_nn,^aberration_nn
abhorred,adj,n,strongsubj,_jj,^abhorred_jj
abhorrence,noun,n,strongsubj,_nn,^abhorrence_nn
abhorrent,adj,n,strongsubj,_jj,^abhorrent_jj
abhors,adj,n,strongsubj,_jj,^abhors_jj
abhors,noun,n,strongsubj,_nn,^abhors_nn
abject,adj,n,strongsubj,_jj,^abject_jj
abjectly,adverb,n,strongsubj,_rb,^abjectly_rb
abnormal,adj,n,weaksubj,_jj,^abnormal_jj
abominable,adj,n,strongsubj,_jj,^abominable_jj
abomination,noun,n,strongsubj,_nn,^abomination_nn
abrasive,adj,n,strongsubj,_jj,^abrasive_jj
abrupt,adj,n,weaksubj,_jj,^abrupt_jj
absence,noun,n,weaksubj,_nn,^absence_nn
absent-minded,adj,n,strongsubj,_jj,^absent-minded_jj
absurd,adj,n,strongsubj,_jj,^absurd_jj
absurdity,noun,n,strongsubj,_nn,^absurdity_nn
absurdness,noun,n,strongsubj,_nn,^absurdness_nn
abuse,adj,n,weaksubj,_jj,^abuse_jj
abuse,noun,n,weaksubj,_nn,^abuse_nn
abuses,adj,n,weaksubj,_jj,^abuses_jj
abuses,noun,n,weaksubj,_nn,^abuses_nn
abusive,adj,n,strongsubj,_jj,^abusive_jj
abysmal,adj,n,strongsubj,_jj,^abysmal_jj
abyss,noun,n,strongsubj,_nn,^abyss_nn
accidental,adj,n,weaksubj,_jj,^accidental_jj
accountable,adj,n,weaksubj,_jj,^accountable_jj
accursed,adj,n,strongsubj,_jj,^accursed_jj
accusation,adj,n,strongsubj,_jj,^accusation_jj
accusation,noun,n,strongsubj,_nn,^accusation_nn
accusations,adj,n,strongsubj,_jj,^accusations_jj
accusations,noun,n,strongsubj,_nn,^accusations_nn
accuses,verb,n,strongsubj,_vb,^accuses_vb
acerbic,adj,n,strongsubj,_jj,^acerbic_jj
acerbically,adverb,n,strongsubj,_rb,^acerbically_rb
acrid,adj,n,strongsubj,_jj,^acrid_jj
acridness,noun,n,strongsubj,_nn,^acridness_nn
acrimonious,adj,n,strongsubj,_jj,^acrimonious_jj
acrimony,noun,n,strongsubj,_nn,^acrimony_nn
adamant,adj,n,strongsubj,_jj,^adamant_jj
addict,noun,n,weaksubj,_nn,^addict_nn
addiction,noun,n,weaksubj,_nn,^addiction_nn
admonition,noun,n,strongsubj,_nn,^admonition_nn
adulteration,noun,n,strongsubj,_nn,^adulteration_nn
adversarial,adj,n,weaksubj,_jj,^adversarial_jj
adverse,adj,n,weaksubj,_jj,^adverse_jj
adversity,noun,n,strongsubj,_nn,^adversity_nn
affectation,noun,n,weaksubj,_nn,^affectation_nn
affliction,noun,n,weaksubj,_nn,^affliction_nn
afflictive,adj,n,strongsubj,_jj,^afflictive_jj
affront,noun,n,strongsubj,_nn,^affront_nn
afraid,adj,n,strongsubj,_jj,^afraid_jj
aggravating,adj,n,strongsubj,_jj,^aggravating_jj
aggravation,noun,n,strongsubj,_nn,^aggravation_nn
aggression,adj,n,strongsubj,_jj,^aggression_jj
aggression,noun,n,strongsubj,_nn,^aggression_nn
aggressiveness,noun,n,strongsubj,_nn,^aggressiveness_nn
aggressor,noun,n,strongsubj,_nn,^aggressor_nn
aggrieved,adj,n,strongsubj,_jj,^aggrieved_jj
aghast,adj,n,strongsubj,_jj,^aghast_jj
agitated,adj,n,strongsubj,_jj,^agitated_jj
agitation,noun,n,strongsubj,_nn,^agitation_nn
agitator,noun,n,strongsubj,_nn,^agitator_nn
agonies,noun,n,strongsubj,_nn,^agonies_nn
agonizing,adj,n,strongsubj,_jj,^agonizing_jj
agony,noun,n,strongsubj,_nn,^agony_nn
ail,noun,n,weaksubj,_nn,^ail_nn
ailment,noun,n,weaksubj,_nn,^ailment_nn
aimless,adj,n,strongsubj,_jj,^aimless_jj
airs,adj,n,weaksubj,_jj,^airs_jj
airs,noun,n,weaksubj,_nn,^airs_nn
alarm,adj,n,weaksubj,_jj,^alarm_jj
alarmed,adj,n,strongsubj,_jj,^alarmed_jj
alarming,adj,n,strongsubj,_jj,^alarming_jj
alienated,adj,n,weaksubj,_jj,^alienated_jj
alienation,noun,n,weaksubj,_nn,^alienation_nn
allegations,adj,n,strongsubj,_jj,^allegations_jj
allege,verb,n,weaksubj,_vb,^allege_vb
allegations,noun,n,strongsubj,_nn,^allegations_nn
allergic,adj,n,weaksubj,_jj,^allergic_jj
aloof,adj,n,strongsubj,_jj,^aloof_jj
altercation,noun,n,weaksubj,_nn,^altercation_nn
ambiguous,adj,n,strongsubj,_jj,^ambiguous_jj
ambiguity,noun,n,strongsubj,_nn,^ambiguity_nn
ambivalent,adj,n,strongsubj,_jj,^ambivalent_jj
ambivalent,noun,n,strongsubj,_nn,^ambivalent_nn
ambush,noun,n,weaksubj,_nn,^ambush_nn
anarchism,noun,n,strongsubj,_nn,^anarchism_nn
anarchist,noun,n,strongsubj,_nn,^anarchist_nn
anarchistic,adj,n,strongsubj,_jj,^anarchistic_jj
anarchy,noun,n,strongsubj,_nn,^anarchy_nn
anemic,adj,n,weaksubj,_jj,^anemic_jj
anger,adj,n,strongsubj,_jj,^anger_jj
anger,noun,n,strongsubj,_nn,^anger_nn
angry,adj,n,strongsubj,_jj,^angry_jj
anguish,noun,n,strongsubj,_nn,^anguish_nn
annihilation,noun,n,strongsubj,_nn,^annihilation_nn
animosity,noun,n,strongsubj,_nn,^animosity_nn
annoyance,noun,n,strongsubj,_nn,^annoyance_nn
annoyed,adj,n,strongsubj,_jj,^annoyed_jj
annoying,adj,n,strongsubj,_jj,^annoying_jj
anomalous,adj,n,weaksubj,_jj,^anomalous_jj
anomaly,noun,n,weaksubj,_nn,^anomaly_nn
antagonism,noun,n,strongsubj,_nn,^antagonism_nn
antagonist,noun,n,weaksubj,_nn,^antagonist_nn
antagonistic,adj,n,strongsubj,_jj,^antagonistic_jj
anti-,noun,n,strongsubj,_nn,^anti-_nn
anti-American,adj,n,strongsubj,_jj,^anti-American_jj
anti-American,noun,n,strongsubj,_nn,^anti-American_nn
anti-Israeli,adj,n,strongsubj,_jj,^anti-Israeli_jj
anti-Israeli,noun,n,strongsubj,_nn,^anti-Israeli_nn
anti-Semites,adj,n,strongsubj,_jj,^anti-Semites_jj
anti-Semites,noun,n,strongsubj,_nn,^anti-Semites_nn
anti-US,adj,n,strongsubj,_jj,^anti-US_jj
anti-US,noun,n,strongsubj,_nn,^anti-US_nn
anti-occupation,adj,n,strongsubj,_jj,^anti-occupation_jj
anti-occupation,noun,n,strongsubj,_nn,^anti-occupation_nn
anti-proliferation,adj,n,strongsubj,_jj,^anti-proliferation_jj
anti-proliferation,noun,n,strongsubj,_nn,^anti-proliferation_nn
anti-social,adj,n,strongsubj,_jj,^anti-social_jj
anti-white,adj,n,strongsubj,_jj,^anti-white_jj
anti-white,noun,n,strongsubj,_nn,^anti-white_nn
antipathy,noun,n,strongsubj,_nn,^antipathy_nn
antiquated,adj,n,strongsubj,_jj,^antiquated_jj
antithetical,adj,n,strongsubj,_jj,^antithetical_jj
antithetical,noun,n,strongsubj,_nn,^antithetical_nn
anxieties,noun,n,strongsubj,_nn,^anxieties_nn
anxiety,noun,n,strongsubj,_nn,^anxiety_nn
anxiousness,noun,n,strongsubj,_nn,^anxiousness_nn
apathetic,adj,n,strongsubj,_jj,^apathetic_jj
apathetic,noun,n,strongsubj,_nn,^apathetic_nn
apathetically,adverb,n,strongsubj,_rb,^apathetically_rb
apathy,noun,n,strongsubj,_nn,^apathy_nn
apocalypse,noun,n,strongsubj,_nn,^apocalypse_nn
apocalyptic,adj,n,strongsubj,_jj,^apocalyptic_jj
apologist,adj,n,strongsubj,_jj,^apologist_jj
apologist,noun,n,strongsubj,_nn,^apologist_nn
apologists,adj,n,strongsubj,_jj,^apologists_jj
apologists,noun,n,strongsubj,_nn,^apologists_nn
appall,adj,n,strongsubj,_jj,^appall_jj
appalled,adj,n,strongsubj,_jj,^appalled_jj
appalling,adj,n,strongsubj,_jj,^appalling_jj
apprehension,noun,n,strongsubj,_nn,^apprehension_nn
apprehensions,adj,n,strongsubj,_jj,^apprehensions_jj
apprehensions,noun,n,strongsubj,_nn,^apprehensions_nn
apprehensive,adj,n,strongsubj,_jj,^apprehensive_jj
apprehensive,noun,n,strongsubj,_nn,^apprehensive_nn
arbitrary,adj,n,strongsubj,_jj,^arbitrary_jj
arcane,adj,n,strongsubj,_jj,^arcane_jj
archaic,adj,n,strongsubj,_jj,^archaic_jj
arduous,adj,n,strongsubj,_jj,^arduous_jj
argument,adj,n,weaksubj,_jj,^argument_jj
argument,noun,n,weaksubj,_nn,^argument_nn
arguments,adj,n,weaksubj,_jj,^arguments_jj
arguments,noun,n,weaksubj,_nn,^arguments_nn
arrogance,noun,n,strongsubj,_nn,^arrogance_nn
arrogant,adj,n,strongsubj,_jj,^arrogant_jj
artificial,adj,n,weaksubj,_jj,^artificial_jj
ashamed,adj,n,strongsubj,_jj,^ashamed_jj
asinine,adj,n,strongsubj,_jj,^asinine_jj
asininely,adverb,n,strongsubj,_rb,^asininely_rb
asinininity,noun,n,strongsubj,_nn,^asinininity_nn
askance,adverb,n,strongsubj,_rb,^askance_rb
aspersion,noun,n,strongsubj,_nn,^aspersion_nn
aspersions,noun,n,strongsubj,_nn,^aspersions_nn
assassin,noun,n,strongsubj,_nn,^assassin_nn
assault,adj,n,weaksubj,_jj,^assault_jj
assault,noun,n,weaksubj,_nn,^assault_nn
astray,adj,n,weaksubj,_jj,^astray_jj
atrocious,adj,n,strongsubj,_jj,^atrocious_jj
atrocities,noun,n,strongsubj,_nn,^atrocities_nn
atrocity,noun,n,strongsubj,_nn,^atrocity_nn
attack,noun,n,weaksubj,_nn,^attack_nn
audacious,adj,n,strongsubj,_jj,^audacious_jj
audaciousness,noun,n,strongsubj,_nn,^audaciousness_nn
audacity,noun,n,strongsubj,_nn,^audacity_nn
austere,adj,n,strongsubj,_jj,^austere_jj
authoritarian,adj,n,weaksubj,_jj,^authoritarian_jj
autocrat,noun,n,strongsubj,_nn,^autocrat_nn
autocratic,adj,n,strongsubj,_jj,^autocratic_jj
autocratic,adj,n,strongsubj,_jj,^autocratic_jj
autocratic,noun,n,strongsubj,_nn,^autocratic_nn
avalanche,adj,n,strongsubj,_jj,^avalanche_jj
avalanche,noun,n,strongsubj,_nn,^avalanche_nn
avarice,noun,n,strongsubj,_nn,^avarice_nn
avaricious,adj,n,strongsubj,_jj,^avaricious_jj
avariciously,adj,n,strongsubj,_jj,^avariciously_jj
aversion,noun,n,strongsubj,_nn,^aversion_nn
avoidance,noun,n,weaksubj,_nn,^avoidance_nn
awful,adj,n,strongsubj,_jj,^awful_jj
awfulness,noun,n,strongsubj,_nn,^awfulness_nn
awkward,adj,n,strongsubj,_jj,^awkward_jj
awkwardness,noun,n,strongsubj,_nn,^awkwardness_nn
backward,adj,n,strongsubj,_jj,^backward_jj
backwardness,noun,n,strongsubj,_nn,^backwardness_nn
bad,adj,n,strongsubj,_jj,^bad_jj
badly,adj,n,strongsubj,_jj,^badly_jj
baffled,adj,n,strongsubj,_jj,^baffled_jj
