"","words","pos","stemmed","type","stems","postag","pattern"
"1","abandon","verb","y","weaksubj","abandon","_vb","^abandon[a-z]*_vb"
"2","abase","verb","y","strongsubj","abas","_vb","^abas[a-z]*_vb"
"3","abash","verb","y","strongsubj","abash","_vb","^abash[a-z]*_vb"
"4","abate","verb","y","weaksubj","abat","_vb","^abat[a-z]*_vb"
"5","abdicate","verb","y","weaksubj","abdicat","_vb","^abdicat[a-z]*_vb"
"6","abhor","verb","y","strongsubj","abhor","_vb","^abhor[a-z]*_vb"
"7","abjure","verb","y","weaksubj","abjur","_vb","^abjur[a-z]*_vb"
"8","abolish","verb","y","weaksubj","abolish","_vb","^abolish[a-z]*_vb"
"9","abominate","verb","y","strongsubj","abominat","_vb","^abominat[a-z]*_vb"
"10","abrade","verb","y","weaksubj","abrad","_vb","^abrad[a-z]*_vb"
"11","abscond","verb","y","strongsubj","abscond","_vb","^abscond[a-z]*_vb"
"12","abuse","verb","y","strongsubj","abus","_vb","^abus[a-z]*_vb"
"13","accost","verb","y","weaksubj","accost","_vb","^accost[a-z]*_vb"
"14","accuse","verb","y","strongsubj","accus","_vb","^accus[a-z]*_vb"
"15","acerbate","verb","y","strongsubj","acerbat","_vb","^acerbat[a-z]*_vb"
"16","ache","verb","y","strongsubj","ach","_vb","^ach[a-z]*_vb"
"17","admonish","verb","y","strongsubj","admonish","_vb","^admonish[a-z]*_vb"
"18","adulterate","verb","y","strongsubj","adulterat","_vb","^adulterat[a-z]*_vb"
"19","adversary","noun","y","weaksubj","adversar","_nn","^adversar[a-z]*_vb"
"20","afflict","verb","y","weaksubj","afflict","_vb","^afflict[a-z]*_vb"
"21","affront","verb","y","strongsubj","affront","_vb","^affront[a-z]*_vb"
"22","aggravate","verb","y","strongsubj","aggravat","_vb","^aggravat[a-z]*_vb"
"23","aggrieve","verb","y","strongsubj","aggriev","_vb","^aggriev[a-z]*_vb"
"24","agitate","verb","y","strongsubj","agit","_vb","^agit[a-z]*_vb"
"25","agonize","verb","y","strongsubj","agoni","_vb","^agoni[a-z]*_vb"
"26","ail","verb","y","weaksubj","ail","_vb","^ail[a-z]*_vb"
"27","alarm","verb","y","weaksubj","alarm","_vb","^alarm[a-z]*_vb"
"28","alienate","verb","y","weaksubj","alienat","_vb","^alienat[a-z]*_vb"
"29","ambush","verb","y","weaksubj","ambush","_vb","^ambush[a-z]*_vb"
"30","amputate","verb","y","weaksubj","aputat","_vb","^aputat[a-z]*_vb"
"31","anger","verb","y","strongsubj","anger","_vb","^anger[a-z]*_vb"
"32","anguish","verb","y","strongsubj","anguish","_vb","^anguish[a-z]*_vb"
"33","annihilate","verb","y","strongsubj","annihilat","_vb","^annihilat[a-z]*_vb"
"34","annoy","verb","y","strongsubj","annoy","_vb","^annoy[a-z]*_vb"
"35","antagonize","verb","y","strongsubj","antagoni","_vb","^antagoni[a-z]*_vb"
"36","aping","verb","y","strongsubj","aping","_vb","^aping[a-z]*_vb"
"37","ape","verb","y","strongsubj","ape","_vb","^ape[a-z]*_vb"
"38","appal","verb","y","strongsubj","appal","_vb","^appal[a-z]*_vb"
"39","appall","verb","y","strongsubj","appall","_vb","^appall[a-z]*_vb"
"40","argue","verb","y","strongsubj","argu","_vb","^argu[a-z]*_vb"
"41","asperse","verb","y","strongsubj","aspers","_vb","^aspers[a-z]*_vb"
"42","assail","verb","y","weaksubj","assail","_vb","^assail[a-z]*_vb"
"43","assassinate","verb","y","weaksubj","assassinat","_vb","^assassinat[a-z]*_vb"
"44","atrophy","verb","y","weaksubj","atrophy","_vb","^atrophy[a-z]*_vb"
"45","atrophy","verb","y","strongsubj","atrophi","_vb","^atrophi[a-z]*_vb"
"46","attack","verb","y","weaksubj","attack","_vb","^attack[a-z]*_vb"
"47","avenge","verb","y","strongsubj","aveng","_vb","^aveng[a-z]*_vb"
"48","avoid","verb","y","weaksubj","avoid","_vb","^avoid[a-z]*_vb"
"49","ax","verb","y","strongsubj","ax","_vb","^ax[a-z]*_vb"
"50","babble","verb","y","strongsubj","babbl","_vb","^babbl[a-z]*_vb"
"51","backbite","verb","y","strongsubj","backbit","_vb","^backbit[a-z]*_vb"
"52","baffle","verb","y","strongsubj","baffl","_vb","^baffl[a-z]*_vb"
"53","bait","verb","y","strongsubj","bait","_vb","^bait[a-z]*_vb"
"54","balk","verb","y","strongsubj","balk","_vb","^balk[a-z]*_vb"
"55","banalize","verb","y","strongsubj","banali","_vb","^banali[a-z]*_vb"
"56","banish","verb","y","strongsubj","banish","_vb","^banish[a-z]*_vb"
"57","bankrupt","verb","y","weaksubj","bankrupt","_vb","^bankrupt[a-z]*_vb"
"58","bar","verb","y","weaksubj","bar","_vb","^bar[a-z]*_vb"
"59","battle","verb","y","weaksubj","battl","_vb","^battl[a-z]*_vb"
"60","befoul","verb","y","strongsubj","befoul","_vb","^befoul[a-z]*_vb"
"61","beg","verb","y","strongsubj","beg","_vb","^beg[a-z]*_vb"
"62","beguile","verb","y","strongsubj","beguil","_vb","^beguil[a-z]*_vb"
"63","belabor","verb","y","strongsubj","belabor","_vb","^belabor[a-z]*_vb"
"64","beleaguer","verb","y","strongsubj","beleagu","_vb","^beleagu[a-z]*_vb"
"65","belying","verb","y","strongsubj","belying","_vb","^belying[a-z]*_vb"
"66","belie","verb","y","strongsubj","beli","_vb","^beli[a-z]*_vb"
"67","belittle","verb","y","strongsubj","belittl","_vb","^belittl[a-z]*_vb"
"68","bemoan","verb","y","strongsubj","bemoan","_vb","^bemoan[a-z]*_vb"
"69","berate","verb","y","strongsubj","berat","_vb","^berat[a-z]*_vb"
"70","bereave","verb","y","strongsubj","bereav","_vb","^bereav[a-z]*_vb"
"71","beseech","verb","y","strongsubj","beseech","_vb","^beseech[a-z]*_vb"
"72","besiege","verb","y","weaksubj","besieg","_vb","^besieg[a-z]*_vb"
"73","besmirch","verb","y","strongsubj","besmirch","_vb","^besmirch[a-z]*_vb"
"74","betraying","verb","a","strongsubj","betraying","_vb","^betraying[a-z]*_vb"
"75","betray","verb","y","strongsubj","betrai","_vb","^betrai[a-z]*_vb"
"76","bewail","verb","y","strongsubj","bewail","_vb","^bewail[a-z]*_vb"
"77","beware","verb","y","weaksubj","bewar","_vb","^bewar[a-z]*_vb"
"78","bewilder","verb","y","strongsubj","bewild","_vb","^bewild[a-z]*_vb"
"79","bewitch","verb","y","strongsubj","bewitch","_vb","^bewitch[a-z]*_vb"
"80","bias","verb","y","strongsubj","bias","_vb","^bias[a-z]*_vb"
"81","bicker","verb","y","strongsubj","bicker","_vb","^bicker[a-z]*_vb"
"82","bitch","verb","y","strongsubj","bitch","_vb","^bitch[a-z]*_vb"
"83","blab","verb","y","strongsubj","blab","_vb","^blab[a-z]*_vb"
"84","blabber","verb","y","strongsubj","blabber","_vb","^blabber[a-z]*_vb"
"85","blackmail","verb","y","weaksubj","blackmail","_vb","^blackmail[a-z]*_vb"
"86","blaming","verb","y","weaksubj","blaming","_vb","^blaming[a-z]*_vb"
"87","blame","verb","y","strongsubj","blame","_vb","^blame[a-z]*_vb"
"88","blandish","verb","y","strongsubj","blandish","_vb","^blandish[a-z]*_vb"
"89","blaspheme","verb","y","strongsubj","blasphem","_vb","^blasphem[a-z]*_vb"
"90","blather","verb","y","strongsubj","blather","_vb","^blather[a-z]*_vb"
"91","bleed","verb","y","weaksubj","bleed","_vb","^bleed[a-z]*_vb"
"92","blemish","verb","y","weaksubj","blemish","_vb","^blemish[a-z]*_vb"
"93","blindside","verb","y","strongsubj","blindsid","_vb","^blindsid[a-z]*_vb"
"94","blister","verb","y","strongsubj","blister","_vb","^blister[a-z]*_vb"
"95","block","verb","y","weaksubj","block","_vb","^block[a-z]*_vb"
"96","blur","verb","y","weaksubj","blur","_vb","^blur[a-z]*_vb"
"97","blurt","verb","y","strongsubj","blurt","_vb","^blurt[a-z]*_vb"
"98","boast","verb","y","strongsubj","boast","_vb","^boast[a-z]*_vb"
"99","boggle","verb","y","strongsubj","boggl","_vb","^boggl[a-z]*_vb"
"100","boil","verb","y","strongsubj","boil","_vb","^boil[a-z]*_vb"
"101","bombard","verb","y","weaksubj","bombard","_vb","^bombard[a-z]*_vb"
