"","words","pos","stemmed","type","stems","postag"
"3","abandon","verb","y","weaksubj","abandon","_vb"
"4","abase","verb","y","strongsubj","abas","_vb"
"6","abash","verb","y","strongsubj","abash","_vb"
"7","abate","verb","y","weaksubj","abat","_vb"
"8","abdicate","verb","y","weaksubj","abdic","_vb"
"12","abhor","verb","y","strongsubj","abhor","_vb"
"21","abjure","verb","y","weaksubj","abjur","_vb"
"23","abolish","verb","y","weaksubj","abolish","_vb"
"26","abominate","verb","y","strongsubj","abomin","_vb"
"28","abrade","verb","y","weaksubj","abrad","_vb"
"31","abscond","verb","y","strongsubj","abscond","_vb"
"41","abuse","verb","y","strongsubj","abus","_vb"
"49","accost","verb","y","weaksubj","accost","_vb"
"56","accuse","verb","y","strongsubj","accus","_vb"
"60","acerbate","verb","y","strongsubj","acerb","_vb"
"63","ache","verb","y","strongsubj","ach","_vb"
"74","admonish","verb","y","strongsubj","admonish","_vb"
"80","adulterate","verb","y","strongsubj","adulter","_vb"
"84","adversary","noun","y","weaksubj","adversari","_nn"
"88","afflict","verb","y","weaksubj","afflict","_vb"
"92","affront","verb","y","strongsubj","affront","_vb"
"95","aggravate","verb","y","strongsubj","aggrav","_vb"
"103","aggrieve","verb","y","strongsubj","aggriev","_vb"
"106","agitate","verb","y","strongsubj","agit","_vb"
"111","agonize","verb","y","strongsubj","agon","_vb"
"117","ail","verb","y","weaksubj","ail","_vb"
"123","alarm","verb","y","weaksubj","alarm","_vb"
"128","alienate","verb","y","weaksubj","alien","_vb"
"145","ambush","verb","y","weaksubj","ambush","_vb"
"147","amputate","verb","y","weaksubj","amput","_vb"
"155","anger","verb","y","strongsubj","anger","_vb"
"160","anguish","verb","y","strongsubj","anguish","_vb"
"161","annihilate","verb","y","strongsubj","annihil","_vb"
"164","annoy","verb","y","strongsubj","annoi","_vb"
"175","antagonize","verb","y","strongsubj","antagon","_vb"
"205","ape","verb","y","strongsubj","ap","_vb"
"212","appal","verb","y","strongsubj","appal","_vb"
"215","appall","verb","y","strongsubj","appal","_vb"
"230","argue","verb","y","strongsubj","argu","_vb"
"247","asperse","verb","y","strongsubj","aspers","_vb"
"250","assail","verb","y","weaksubj","assail","_vb"
"251","assassinate","verb","y","weaksubj","assassin","_vb"
"260","atrophy","verb","y","strongsubj","atrophi","_vb"
"262","attack","verb","y","weaksubj","attack","_vb"
"278","avenge","verb","y","strongsubj","aveng","_vb"
"281","avoid","verb","y","weaksubj","avoid","_vb"
"290","ax","verb","y","strongsubj","ax","_vb"
"291","babble","verb","y","strongsubj","babbl","_vb"
"292","backbite","verb","y","strongsubj","backbit","_vb"
