words,pos,stemmed,type
abandoned,adj,n,weaksubj
abandonment,noun,n,weaksubj
abandon,verb,y,weaksubj
abase,verb,y,strongsubj
abasement,anypos,y,strongsubj
abash,verb,y,strongsubj
abate,verb,y,weaksubj
abdicate,verb,y,weaksubj
aberration,adj,n,strongsubj
aberration,noun,n,strongsubj
abhor,anypos,y,strongsubj
abhor,verb,y,strongsubj
abhorred,adj,n,strongsubj
abhorrence,noun,n,strongsubj
abhorrent,adj,n,strongsubj
abhorrently,anypos,n,strongsubj
abhors,adj,n,strongsubj
abhors,noun,n,strongsubj
abject,adj,n,strongsubj
abjectly,adverb,n,strongsubj
abjure,verb,y,weaksubj
abnormal,adj,n,weaksubj
abolish,verb,y,weaksubj
abominable,adj,n,strongsubj
abominably,anypos,n,strongsubj
abominate,verb,y,strongsubj
abomination,noun,n,strongsubj
abrade,verb,y,weaksubj
abrasive,adj,n,strongsubj
abrupt,adj,n,weaksubj
abscond,verb,y,strongsubj
absence,noun,n,weaksubj
absentee,anypos,y,weaksubj
absent-minded,adj,n,strongsubj
absurd,adj,n,strongsubj
absurdity,noun,n,strongsubj
absurdly,anypos,n,strongsubj
absurdness,noun,n,strongsubj
abuse,adj,n,weaksubj
abuse,noun,n,weaksubj
abuse,verb,y,strongsubj
abuses,adj,n,weaksubj
abuses,noun,n,weaksubj
abusive,adj,n,strongsubj
abysmal,adj,n,strongsubj
abysmally,anypos,n,strongsubj
abyss,noun,n,strongsubj
accidental,adj,n,weaksubj
accost,verb,y,weaksubj
accountable,adj,n,weaksubj
accursed,adj,n,strongsubj
accusation,adj,n,strongsubj
accusation,noun,n,strongsubj
accusations,adj,n,strongsubj
accusations,noun,n,strongsubj
accuse,verb,y,strongsubj
accuses,verb,n,strongsubj
accusing,anypos,n,strongsubj
accusingly,anypos,n,strongsubj
acerbate,verb,y,strongsubj
acerbic,adj,n,strongsubj
acerbically,adverb,n,strongsubj
ache,verb,y,strongsubj
acrid,adj,n,strongsubj
acridly,anypos,n,strongsubj
acridness,noun,n,strongsubj
acrimonious,adj,n,strongsubj
acrimoniously,anypos,n,strongsubj
acrimony,noun,n,strongsubj
adamant,adj,n,strongsubj
adamantly,anypos,n,strongsubj
addict,noun,n,weaksubj
addiction,noun,n,weaksubj
admonish,verb,y,strongsubj
admonisher,anypos,y,strongsubj
admonishingly,anypos,y,strongsubj
admonishment,anypos,y,strongsubj
admonition,noun,n,strongsubj
adrift,anypos,n,weaksubj
adulterate,verb,y,strongsubj
adulterated,anypos,n,strongsubj
adulteration,noun,n,strongsubj
adversarial,adj,n,weaksubj
adversary,noun,y,weaksubj
adverse,adj,n,weaksubj
adversity,noun,n,strongsubj
affectation,noun,n,weaksubj
afflict,verb,y,weaksubj
affliction,noun,n,weaksubj
afflictive,adj,n,strongsubj
affront,noun,n,strongsubj
affront,verb,y,strongsubj
afraid,adj,n,strongsubj
against,anypos,n,weaksubj
aggravate,verb,y,strongsubj
aggravating,adj,n,strongsubj
aggravation,noun,n,strongsubj
aggression,adj,n,strongsubj
aggression,noun,n,strongsubj
aggressive,anypos,y,strongsubj
aggressiveness,noun,n,strongsubj
aggressor,noun,n,strongsubj
aggrieve,verb,y,strongsubj
aggrieved,adj,n,strongsubj
aghast,adj,n,strongsubj
agitate,verb,y,strongsubj
agitated,adj,n,strongsubj
agitation,noun,n,strongsubj
agitator,noun,n,strongsubj
agonies,noun,n,strongsubj
agonize,verb,y,strongsubj
agonizing,adj,n,strongsubj
agonizing,anypos,y,strongsubj
agonizingly,anypos,n,strongsubj
agony,noun,n,strongsubj
ail,noun,n,weaksubj
ail,verb,y,weaksubj
ailment,noun,n,weaksubj
aimless,adj,n,strongsubj
airs,adj,n,weaksubj
airs,noun,n,weaksubj
alarm,adj,n,weaksubj
alarm,verb,y,weaksubj
alarmed,adj,n,strongsubj
alarming,adj,n,strongsubj
alarmingly,anypos,n,strongsubj
alas,anypos,y,strongsubj
alienate,verb,y,weaksubj
alienated,adj,n,weaksubj
alienation,noun,n,weaksubj
allegation,anypos,n,strongsubj
allegations,adj,n,strongsubj
allege,verb,n,weaksubj
allegations,noun,n,strongsubj
allergic,adj,n,weaksubj
aloof,adj,n,strongsubj
altercation,noun,n,weaksubj
although,anypos,y,weaksubj
ambiguous,adj,n,strongsubj
ambiguity,noun,n,strongsubj
ambivalence,anypos,y,strongsubj
ambivalent,adj,n,strongsubj
ambivalent,noun,n,strongsubj
ambush,noun,n,weaksubj
ambush,verb,y,weaksubj
amiss,anypos,n,strongsubj
amputate,verb,y,weaksubj
anarchism,noun,n,strongsubj
anarchist,noun,n,strongsubj
anarchistic,adj,n,strongsubj
anarchy,noun,n,strongsubj
anemic,adj,n,weaksubj
anger,adj,n,strongsubj
anger,noun,n,strongsubj
anger,verb,y,strongsubj
angrily,anypos,y,strongsubj
angriness,anypos,y,strongsubj
angry,adj,n,strongsubj
anguish,noun,n,strongsubj
anguish,verb,y,strongsubj
annihilate,verb,y,strongsubj
annihilation,noun,n,strongsubj
animosity,noun,n,strongsubj
annoy,verb,y,strongsubj
annoyance,noun,n,strongsubj
annoyed,adj,n,strongsubj
annoying,adj,n,strongsubj
annoying,anypos,y,strongsubj
annoyingly,anypos,n,strongsubj
anomalous,adj,n,weaksubj
anomaly,noun,n,weaksubj
antagonism,noun,n,strongsubj
antagonist,noun,n,weaksubj
antagonistic,adj,n,strongsubj
antagonize,verb,y,strongsubj
anti-,noun,n,strongsubj
anti-American,adj,n,strongsubj
anti-American,noun,n,strongsubj
anti-Israeli,adj,n,strongsubj
anti-Israeli,noun,n,strongsubj
anti-Semites,adj,n,strongsubj
anti-Semites,noun,n,strongsubj
anti-US,adj,n,strongsubj
anti-US,noun,n,strongsubj
anti-occupation,adj,n,strongsubj
anti-occupation,noun,n,strongsubj
anti-proliferation,adj,n,strongsubj
anti-proliferation,noun,n,strongsubj
anti-social,adj,n,strongsubj
anti-white,adj,n,strongsubj
anti-white,noun,n,strongsubj
antipathy,noun,n,strongsubj
antiquated,adj,n,strongsubj
antithetical,adj,n,strongsubj
antithetical,noun,n,strongsubj
anxieties,noun,n,strongsubj
anxiety,noun,n,strongsubj
anxious,anypos,n,strongsubj
anxiously,anypos,n,strongsubj
anxiousness,noun,n,strongsubj
apathetic,adj,n,strongsubj
apathetic,noun,n,strongsubj
apathetically,adverb,n,strongsubj
apathy,noun,n,strongsubj
ape,verb,y,strongsubj
apocalypse,noun,n,strongsubj
apocalyptic,adj,n,strongsubj
apologist,adj,n,strongsubj
apologist,noun,n,strongsubj
apologists,adj,n,strongsubj
apologists,noun,n,strongsubj
appal,verb,y,strongsubj
appall,adj,n,strongsubj
appall,anypos,y,strongsubj
appall,verb,y,strongsubj
appalled,adj,n,strongsubj
appalling,adj,n,strongsubj
appallingly,anypos,n,strongsubj
apprehension,noun,n,strongsubj
apprehensions,adj,n,strongsubj
apprehensions,noun,n,strongsubj
apprehensive,adj,n,strongsubj
apprehensive,noun,n,strongsubj
apprehensively,anypos,y,strongsubj
arbitrary,adj,n,strongsubj
arcane,adj,n,strongsubj
archaic,adj,n,strongsubj
arduous,adj,n,strongsubj
arduously,anypos,n,strongsubj
argue,verb,y,strongsubj
argument,adj,n,weaksubj
argument,noun,n,weaksubj
argumentative,anypos,y,strongsubj
arguments,adj,n,weaksubj
arguments,noun,n,weaksubj
arrogance,noun,n,strongsubj
arrogant,adj,n,strongsubj
arrogant,anypos,y,strongsubj
arrogantly,anypos,n,strongsubj
arrogantly,anypos,y,strongsubj
artificial,adj,n,weaksubj
ashamed,adj,n,strongsubj
asinine,adj,n,strongsubj
asininely,adverb,n,strongsubj
asinininity,noun,n,strongsubj
askance,adverb,n,strongsubj
asperse,verb,y,strongsubj
aspersion,noun,n,strongsubj
aspersions,noun,n,strongsubj
assail,verb,y,weaksubj
assassinate,verb,y,weaksubj
assassin,noun,n,strongsubj
assault,adj,n,weaksubj
assault,noun,n,weaksubj
astray,adj,n,weaksubj
asunder,anypos,n,strongsubj
atrocious,adj,n,strongsubj
atrocities,noun,n,strongsubj
atrocity,noun,n,strongsubj
atrophy,verb,y,strongsubj
attack,noun,n,weaksubj
attack,verb,y,weaksubj
audacious,adj,n,strongsubj
audaciously,anypos,n,strongsubj
audaciousness,noun,n,strongsubj
audacity,noun,n,strongsubj
austere,adj,n,strongsubj
authoritarian,adj,n,weaksubj
autocrat,noun,n,strongsubj
autocratic,adj,n,strongsubj
autocratic,adj,n,strongsubj
autocratic,noun,n,strongsubj
avalanche,adj,n,strongsubj
avalanche,noun,n,strongsubj
avarice,noun,n,strongsubj
avaricious,adj,n,strongsubj
avariciously,adj,n,strongsubj
avenge,verb,y,strongsubj
averse,anypos,n,strongsubj
aversion,noun,n,strongsubj
avoid,verb,y,weaksubj
avoidance,noun,n,weaksubj
awful,adj,n,strongsubj
awful,anypos,n,strongsubj
awfully,anypos,n,strongsubj
awfulness,anypos,y,strongsubj
awfulness,noun,n,strongsubj
awkward,adj,n,strongsubj
awkwardness,noun,n,strongsubj
ax,verb,y,strongsubj
babble,verb,y,strongsubj
backbite,verb,y,strongsubj
backbiting,anypos,n,strongsubj
backward,adj,n,strongsubj
backwardness,noun,n,strongsubj
bad,adj,n,strongsubj
badly,adj,n,strongsubj
baffle,verb,y,strongsubj
baffled,adj,n,strongsubj
bafflement,noun,n,strongsubj
baffling,anypos,n,strongsubj
bait,verb,y,strongsubj
balk,verb,y,strongsubj
banal,adj,n,strongsubj
banal,anypos,y,strongsubj
banalize,verb,y,strongsubj
bane,noun,n,strongsubj
banish,adj,n,strongsubj
banish,verb,y,strongsubj
banishment,noun,n,strongsubj
bankrupt,adj,n,weaksubj
bankrupt,verb,y,weaksubj
bar,verb,y,weaksubj
barbarian,adj,n,strongsubj
barbarian,noun,n,strongsubj
barbaric,adj,n,strongsubj
barbarically,anypos,n,strongsubj
barbarity,adj,n,strongsubj
barbarity,noun,n,strongsubj
barbarous,adj,n,strongsubj
barbarous,anypos,y,strongsubj
barbarously,anypos,n,strongsubj
barely,anypos,y,weaksubj
barren,adj,n,strongsubj
baseless,adj,n,strongsubj
bashful,adj,n,strongsubj
bastard,anypos,y,strongsubj
bastard,noun,n,strongsubj
battered,adj,n,weaksubj
battering,adj,n,weaksubj
battering,noun,n,weaksubj
battle,verb,y,weaksubj
battle-lines,adj,n,strongsubj
battle-lines,noun,n,strongsubj
battlefield,noun,n,weaksubj
battleground,adj,n,strongsubj
battleground,noun,n,strongsubj
batty,adj,n,strongsubj
bearish,adj,n,weaksubj
beast,adj,n,strongsubj
beast,noun,n,strongsubj
beastly,adj,n,strongsubj
bedlam,noun,n,strongsubj
bedlamite,noun,n,strongsubj
befoul,verb,y,strongsubj
beg,verb,y,strongsubj
beggar,noun,n,weaksubj
beggarly,adj,n,strongsubj
begging,adj,n,strongsubj
begging,noun,n,strongsubj
beguile,verb,y,strongsubj
belated,adj,n,weaksubj
belabor,verb,y,strongsubj
beleaguer,verb,y,strongsubj
belie,verb,y,strongsubj
belittle,verb,y,strongsubj
belittled,adj,n,strongsubj
belittling,anypos,y,strongsubj
bellicose,adj,n,strongsubj
bellicose,noun,n,strongsubj
belligerence,noun,n,strongsubj
belligerent,adj,n,strongsubj
belligerent,anypos,y,strongsubj
belligerently,anypos,n,strongsubj
bemoan,verb,y,strongsubj
bemoaning,adj,n,strongsubj
bemused,adj,n,strongsubj
bent,adj,n,weaksubj
berate,verb,y,strongsubj
bereave,verb,y,strongsubj
bereavement,noun,n,strongsubj
bereft,anypos,n,strongsubj
berserk,adj,n,strongsubj
beseech,verb,y,strongsubj
beset,adj,n,weaksubj
besiege,verb,y,weaksubj
besmirch,verb,y,strongsubj
bestial,adj,n,strongsubj
betray,verb,y,strongsubj
betrayal,noun,n,strongsubj
betrayals,noun,n,strongsubj
betrayer,noun,n,strongsubj
bewail,verb,y,strongsubj
beware,verb,y,weaksubj
bewilder,verb,y,strongsubj
bewildered,adj,n,strongsubj
bewildering,adj,n,strongsubj
bewildering,anypos,n,strongsubj
bewilderingly,anypos,n,strongsubj
bewilderment,noun,n,strongsubj
bewitch,verb,y,strongsubj
bias,adj,n,strongsubj
bias,noun,n,strongsubj
bias,verb,y,strongsubj
biased,adj,n,strongsubj
biased,noun,n,strongsubj
biases,adj,n,strongsubj
biases,noun,n,strongsubj
bicker,verb,y,strongsubj
bickering,anypos,n,strongsubj
bid-rigging,adj,n,weaksubj
bitch,verb,y,strongsubj
bitchy,adj,n,strongsubj
biting,adj,n,strongsubj
bitingly,anypos,n,strongsubj
bitter,adj,n,strongsubj
bitterly,anypos,n,strongsubj
bitterness,noun,n,strongsubj
bizarre,adj,n,strongsubj
blab,verb,y,strongsubj
blabber,verb,y,strongsubj
black,adj,n,weaksubj
blackmail,verb,y,weaksubj
blah,anypos,y,strongsubj
blame,adj,n,strongsubj
blame,noun,n,strongsubj
blame,verb,y,strongsubj
blameworthy,adj,n,strongsubj
bland,adj,n,strongsubj
blandish,verb,y,strongsubj
blaspheme,verb,y,strongsubj
blasphemous,adj,n,strongsubj
blasphemous,anypos,y,strongsubj
blasphemy,noun,n,strongsubj
blast,anypos,y,weaksubj
blasted,anypos,y,strongsubj
blatant,adj,n,strongsubj
blatantly,adj,n,strongsubj
blather,verb,y,strongsubj
bleak,adj,n,strongsubj
bleakly,anypos,n,strongsubj
bleakness,noun,n,strongsubj
bleed,verb,y,weaksubj
blemish,noun,n,weaksubj
blemish,verb,y,weaksubj
blind,anypos,n,weaksubj
blinding,adj,n,strongsubj
blinding,anypos,y,strongsubj
blindingly,adj,n,strongsubj
blindness,adj,n,weaksubj
blindside,verb,y,strongsubj
blister,verb,y,strongsubj
blistering,adj,n,strongsubj
bloated,adj,n,strongsubj
block,noun,n,weaksubj
block,verb,y,weaksubj
blockhead,adj,n,strongsubj
blood,noun,n,weaksubj
bloodshed,noun,n,strongsubj
bloodthirsty,adj,n,strongsubj
bloody,adj,n,weaksubj
blow,adj,n,weaksubj
blow,noun,n,weaksubj
blunder,adj,n,strongsubj
blunder,noun,n,strongsubj
blundering,anypos,n,strongsubj
blunders,anypos,n,strongsubj
blunt,adj,n,strongsubj
blur,verb,y,weaksubj
blurt,verb,y,strongsubj
boast,verb,y,strongsubj
boastful,adj,n,strongsubj
boggle,verb,y,strongsubj
bogus,adj,n,strongsubj
boil,verb,y,strongsubj
boiling,adverb,n,strongsubj
boisterous,adj,n,strongsubj
bombard,verb,y,weaksubj
bomb,verb,y,weaksubj
bombardment,adj,n,strongsubj
bombardment,noun,n,strongsubj
bombastic,adj,n,strongsubj
bondage,noun,n,strongsubj
bonkers,adj,n,strongsubj
bonkers,noun,n,strongsubj
bore,verb,y,strongsubj
boredom,noun,n,strongsubj
boring,adj,n,strongsubj
boring,anypos,y,strongsubj
botch,verb,y,strongsubj
bother,noun,n,strongsubj
bother,verb,y,strongsubj
bothersome,adj,n,strongsubj
bowdlerize,verb,y,strongsubj
boycott,adj,n,weaksubj
boycott,noun,n,weaksubj
braggart,anypos,y,strongsubj
braggart,noun,n,strongsubj
bragger,anypos,y,strongsubj
bragger,noun,n,strongsubj
brainwash,verb,y,strongsubj
brash,adj,n,strongsubj
brashly,anypos,n,strongsubj
brashness,noun,n,strongsubj
brat,noun,n,strongsubj
bravado,noun,n,strongsubj
brazen,anypos,n,strongsubj
brazenly,anypos,n,strongsubj
brazenly,anypos,n,strongsubj
brazenness,noun,n,strongsubj
brazenness,noun,n,strongsubj
breach,adj,n,weaksubj
breach,noun,n,weaksubj
break,verb,y,weaksubj
break-point,adj,n,strongsubj
break-point,noun,n,strongsubj
breakdown,verb,y,weaksubj
brimstone,adj,n,strongsubj
brimstone,noun,n,strongsubj
bristle,verb,y,strongsubj
brittle,adj,n,weaksubj
broke,adj,n,weaksubj
broken-hearted,adj,n,strongsubj
brood,verb,y,strongsubj
browbeat,verb,y,strongsubj
bruise,noun,n,weaksubj
brusque,adj,n,strongsubj
brutal,adj,n,strongsubj
brutalising,adj,n,strongsubj
brutalising,noun,n,strongsubj
brutalities,anypos,n,strongsubj
brutalities,noun,n,strongsubj
brutality,noun,n,strongsubj
brutalize,verb,y,strongsubj
brutalizing,adj,n,strongsubj
brutally,anypos,n,strongsubj
brute,noun,n,strongsubj
brutish,adj,n,strongsubj
bug,verb,y,weaksubj
buckle,verb,y,weaksubj
bulky,adj,n,weaksubj
bullies,adj,n,strongsubj
bullies,noun,n,strongsubj
bully,adj,n,strongsubj
bully,noun,n,strongsubj
bullyingly,anypos,n,strongsubj
bum,noun,n,weaksubj
bumpy,adj,n,weaksubj
bungle,verb,y,strongsubj
bungler,anypos,y,strongsubj
bunk,noun,n,weaksubj
burden,adj,n,strongsubj
burden,noun,n,strongsubj
burdensome,adj,n,strongsubj
burdensome,anypos,y,strongsubj
burdensomely,anypos,y,strongsubj
burn,verb,y,strongsubj
busy,adj,n,weaksubj
busybody,noun,n,strongsubj
butcher,verb,y,weaksubj
butchery,noun,n,strongsubj
byzantine,adj,n,strongsubj
cackle,verb,y,strongsubj
cajole,verb,y,strongsubj
calamities,noun,n,strongsubj
calamitous,adj,n,strongsubj
calamitously,anypos,n,strongsubj
calamity,anypos,y,strongsubj
calamity,noun,n,strongsubj
callous,adj,n,strongsubj
