words,pos,stemmed,type,postag,pattern
abandoned,adj,n,weaksubj,_jj,^abandoned_jj
abandonment,noun,n,weaksubj,_nn,^abandonment_nn
abandon,verb,y,weaksubj,_vb,^abandon_vb
abase,verb,y,strongsubj,_vb,^abase_vb
abasement,anypos,y,strongsubj,,^abasement
abash,verb,y,strongsubj,_vb,^abash_vb
abate,verb,y,weaksubj,_vb,^abate_vb
abdicate,verb,y,weaksubj,_vb,^abdicate_vb
aberration,adj,n,strongsubj,_jj,^aberration_jj
aberration,noun,n,strongsubj,_nn,^aberration_nn
abhor,anypos,y,strongsubj,,^abhor
abhor,verb,y,strongsubj,_vb,^abhor_vb
abhorred,adj,n,strongsubj,_jj,^abhorred_jj
abhorrence,noun,n,strongsubj,_nn,^abhorrence_nn
abhorrent,adj,n,strongsubj,_jj,^abhorrent_jj
abhorrently,anypos,n,strongsubj,,^abhorrently
abhors,adj,n,strongsubj,_jj,^abhors_jj
abhors,noun,n,strongsubj,_nn,^abhors_nn
abject,adj,n,strongsubj,_jj,^abject_jj
abjectly,adverb,n,strongsubj,_rb,^abjectly_rb
abjure,verb,y,weaksubj,_vb,^abjure_vb
abnormal,adj,n,weaksubj,_jj,^abnormal_jj
abolish,verb,y,weaksubj,_vb,^abolish_vb
abominable,adj,n,strongsubj,_jj,^abominable_jj
abominably,anypos,n,strongsubj,,^abominably
abominate,verb,y,strongsubj,_vb,^abominate_vb
abomination,noun,n,strongsubj,_nn,^abomination_nn
abrade,verb,y,weaksubj,_vb,^abrade_vb
abrasive,adj,n,strongsubj,_jj,^abrasive_jj
abrupt,adj,n,weaksubj,_jj,^abrupt_jj
abscond,verb,y,strongsubj,_vb,^abscond_vb
absence,noun,n,weaksubj,_nn,^absence_nn
absentee,anypos,y,weaksubj,,^absentee
absent-minded,adj,n,strongsubj,_jj,^absent-minded_jj
absurd,adj,n,strongsubj,_jj,^absurd_jj
absurdity,noun,n,strongsubj,_nn,^absurdity_nn
absurdly,anypos,n,strongsubj,,^absurdly
absurdness,noun,n,strongsubj,_nn,^absurdness_nn
abuse,adj,n,weaksubj,_jj,^abuse_jj
abuse,noun,n,weaksubj,_nn,^abuse_nn
abuse,verb,y,strongsubj,_vb,^abuse_vb
abuses,adj,n,weaksubj,_jj,^abuses_jj
abuses,noun,n,weaksubj,_nn,^abuses_nn
abusive,adj,n,strongsubj,_jj,^abusive_jj
abysmal,adj,n,strongsubj,_jj,^abysmal_jj
abysmally,anypos,n,strongsubj,,^abysmally
abyss,noun,n,strongsubj,_nn,^abyss_nn
accidental,adj,n,weaksubj,_jj,^accidental_jj
accost,verb,y,weaksubj,_vb,^accost_vb
accountable,adj,n,weaksubj,_jj,^accountable_jj
accursed,adj,n,strongsubj,_jj,^accursed_jj
accusation,adj,n,strongsubj,_jj,^accusation_jj
accusation,noun,n,strongsubj,_nn,^accusation_nn
accusations,adj,n,strongsubj,_jj,^accusations_jj
accusations,noun,n,strongsubj,_nn,^accusations_nn
accuse,verb,y,strongsubj,_vb,^accuse_vb
accuses,verb,n,strongsubj,_vb,^accuses_vb
accusing,anypos,n,strongsubj,,^accusing
accusingly,anypos,n,strongsubj,,^accusingly
acerbate,verb,y,strongsubj,_vb,^acerbate_vb
acerbic,adj,n,strongsubj,_jj,^acerbic_jj
acerbically,adverb,n,strongsubj,_rb,^acerbically_rb
ache,verb,y,strongsubj,_vb,^ache_vb
acrid,adj,n,strongsubj,_jj,^acrid_jj
acridly,anypos,n,strongsubj,,^acridly
acridness,noun,n,strongsubj,_nn,^acridness_nn
acrimonious,adj,n,strongsubj,_jj,^acrimonious_jj
acrimoniously,anypos,n,strongsubj,,^acrimoniously
acrimony,noun,n,strongsubj,_nn,^acrimony_nn
adamant,adj,n,strongsubj,_jj,^adamant_jj
adamantly,anypos,n,strongsubj,,^adamantly
addict,noun,n,weaksubj,_nn,^addict_nn
addiction,noun,n,weaksubj,_nn,^addiction_nn
admonish,verb,y,strongsubj,_vb,^admonish_vb
admonisher,anypos,y,strongsubj,,^admonisher
admonishingly,anypos,y,strongsubj,,^admonishingly
admonishment,anypos,y,strongsubj,,^admonishment
admonition,noun,n,strongsubj,_nn,^admonition_nn
adrift,anypos,n,weaksubj,,^adrift
adulterate,verb,y,strongsubj,_vb,^adulterate_vb
adulterated,anypos,n,strongsubj,,^adulterated
adulteration,noun,n,strongsubj,_nn,^adulteration_nn
adversarial,adj,n,weaksubj,_jj,^adversarial_jj
adversary,noun,y,weaksubj,_nn,^adversary_nn
adverse,adj,n,weaksubj,_jj,^adverse_jj
adversity,noun,n,strongsubj,_nn,^adversity_nn
affectation,noun,n,weaksubj,_nn,^affectation_nn
afflict,verb,y,weaksubj,_vb,^afflict_vb
affliction,noun,n,weaksubj,_nn,^affliction_nn
afflictive,adj,n,strongsubj,_jj,^afflictive_jj
affront,noun,n,strongsubj,_nn,^affront_nn
affront,verb,y,strongsubj,_vb,^affront_vb
afraid,adj,n,strongsubj,_jj,^afraid_jj
against,anypos,n,weaksubj,,^against
aggravate,verb,y,strongsubj,_vb,^aggravate_vb
aggravating,adj,n,strongsubj,_jj,^aggravating_jj
aggravation,noun,n,strongsubj,_nn,^aggravation_nn
aggression,adj,n,strongsubj,_jj,^aggression_jj
aggression,noun,n,strongsubj,_nn,^aggression_nn
aggressive,anypos,y,strongsubj,,^aggressive
aggressiveness,noun,n,strongsubj,_nn,^aggressiveness_nn
aggressor,noun,n,strongsubj,_nn,^aggressor_nn
aggrieve,verb,y,strongsubj,_vb,^aggrieve_vb
aggrieved,adj,n,strongsubj,_jj,^aggrieved_jj
aghast,adj,n,strongsubj,_jj,^aghast_jj
agitate,verb,y,strongsubj,_vb,^agitate_vb
agitated,adj,n,strongsubj,_jj,^agitated_jj
agitation,noun,n,strongsubj,_nn,^agitation_nn
agitator,noun,n,strongsubj,_nn,^agitator_nn
agonies,noun,n,strongsubj,_nn,^agonies_nn
agonize,verb,y,strongsubj,_vb,^agonize_vb
agonizing,adj,n,strongsubj,_jj,^agonizing_jj
agonizing,anypos,y,strongsubj,,^agonizing
agonizingly,anypos,n,strongsubj,,^agonizingly
agony,noun,n,strongsubj,_nn,^agony_nn
ail,noun,n,weaksubj,_nn,^ail_nn
ail,verb,y,weaksubj,_vb,^ail_vb
ailment,noun,n,weaksubj,_nn,^ailment_nn
aimless,adj,n,strongsubj,_jj,^aimless_jj
airs,adj,n,weaksubj,_jj,^airs_jj
airs,noun,n,weaksubj,_nn,^airs_nn
alarm,adj,n,weaksubj,_jj,^alarm_jj
alarm,verb,y,weaksubj,_vb,^alarm_vb
alarmed,adj,n,strongsubj,_jj,^alarmed_jj
alarming,adj,n,strongsubj,_jj,^alarming_jj
alarmingly,anypos,n,strongsubj,,^alarmingly
alas,anypos,y,strongsubj,,^alas
alienate,verb,y,weaksubj,_vb,^alienate_vb
alienated,adj,n,weaksubj,_jj,^alienated_jj
alienation,noun,n,weaksubj,_nn,^alienation_nn
allegation,anypos,n,strongsubj,,^allegation
allegations,adj,n,strongsubj,_jj,^allegations_jj
allege,verb,n,weaksubj,_vb,^allege_vb
allegations,noun,n,strongsubj,_nn,^allegations_nn
allergic,adj,n,weaksubj,_jj,^allergic_jj
aloof,adj,n,strongsubj,_jj,^aloof_jj
altercation,noun,n,weaksubj,_nn,^altercation_nn
although,anypos,y,weaksubj,,^although
ambiguous,adj,n,strongsubj,_jj,^ambiguous_jj
ambiguity,noun,n,strongsubj,_nn,^ambiguity_nn
ambivalence,anypos,y,strongsubj,,^ambivalence
ambivalent,adj,n,strongsubj,_jj,^ambivalent_jj
ambivalent,noun,n,strongsubj,_nn,^ambivalent_nn
ambush,noun,n,weaksubj,_nn,^ambush_nn
ambush,verb,y,weaksubj,_vb,^ambush_vb
amiss,anypos,n,strongsubj,,^amiss
amputate,verb,y,weaksubj,_vb,^amputate_vb
anarchism,noun,n,strongsubj,_nn,^anarchism_nn
anarchist,noun,n,strongsubj,_nn,^anarchist_nn
anarchistic,adj,n,strongsubj,_jj,^anarchistic_jj
anarchy,noun,n,strongsubj,_nn,^anarchy_nn
anemic,adj,n,weaksubj,_jj,^anemic_jj
anger,adj,n,strongsubj,_jj,^anger_jj
anger,noun,n,strongsubj,_nn,^anger_nn
anger,verb,y,strongsubj,_vb,^anger_vb
angrily,anypos,y,strongsubj,,^angrily
angriness,anypos,y,strongsubj,,^angriness
angry,adj,n,strongsubj,_jj,^angry_jj
anguish,noun,n,strongsubj,_nn,^anguish_nn
anguish,verb,y,strongsubj,_vb,^anguish_vb
annihilate,verb,y,strongsubj,_vb,^annihilate_vb
annihilation,noun,n,strongsubj,_nn,^annihilation_nn
animosity,noun,n,strongsubj,_nn,^animosity_nn
annoy,verb,y,strongsubj,_vb,^annoy_vb
annoyance,noun,n,strongsubj,_nn,^annoyance_nn
annoyed,adj,n,strongsubj,_jj,^annoyed_jj
annoying,adj,n,strongsubj,_jj,^annoying_jj
annoying,anypos,y,strongsubj,,^annoying
annoyingly,anypos,n,strongsubj,,^annoyingly
anomalous,adj,n,weaksubj,_jj,^anomalous_jj
anomaly,noun,n,weaksubj,_nn,^anomaly_nn
antagonism,noun,n,strongsubj,_nn,^antagonism_nn
antagonist,noun,n,weaksubj,_nn,^antagonist_nn
antagonistic,adj,n,strongsubj,_jj,^antagonistic_jj
antagonize,verb,y,strongsubj,_vb,^antagonize_vb
anti-,noun,n,strongsubj,_nn,^anti-_nn
anti-American,adj,n,strongsubj,_jj,^anti-American_jj
anti-American,noun,n,strongsubj,_nn,^anti-American_nn
anti-Israeli,adj,n,strongsubj,_jj,^anti-Israeli_jj
anti-Israeli,noun,n,strongsubj,_nn,^anti-Israeli_nn
anti-Semites,adj,n,strongsubj,_jj,^anti-Semites_jj
anti-Semites,noun,n,strongsubj,_nn,^anti-Semites_nn
anti-US,adj,n,strongsubj,_jj,^anti-US_jj
anti-US,noun,n,strongsubj,_nn,^anti-US_nn
anti-occupation,adj,n,strongsubj,_jj,^anti-occupation_jj
anti-occupation,noun,n,strongsubj,_nn,^anti-occupation_nn
anti-proliferation,adj,n,strongsubj,_jj,^anti-proliferation_jj
anti-proliferation,noun,n,strongsubj,_nn,^anti-proliferation_nn
anti-social,adj,n,strongsubj,_jj,^anti-social_jj
anti-white,adj,n,strongsubj,_jj,^anti-white_jj
anti-white,noun,n,strongsubj,_nn,^anti-white_nn
antipathy,noun,n,strongsubj,_nn,^antipathy_nn
antiquated,adj,n,strongsubj,_jj,^antiquated_jj
antithetical,adj,n,strongsubj,_jj,^antithetical_jj
antithetical,noun,n,strongsubj,_nn,^antithetical_nn
anxieties,noun,n,strongsubj,_nn,^anxieties_nn
anxiety,noun,n,strongsubj,_nn,^anxiety_nn
anxious,anypos,n,strongsubj,,^anxious
anxiously,anypos,n,strongsubj,,^anxiously
anxiousness,noun,n,strongsubj,_nn,^anxiousness_nn
apathetic,adj,n,strongsubj,_jj,^apathetic_jj
apathetic,noun,n,strongsubj,_nn,^apathetic_nn
apathetically,adverb,n,strongsubj,_rb,^apathetically_rb
apathy,noun,n,strongsubj,_nn,^apathy_nn
ape,verb,y,strongsubj,_vb,^ape_vb
apocalypse,noun,n,strongsubj,_nn,^apocalypse_nn
apocalyptic,adj,n,strongsubj,_jj,^apocalyptic_jj
