"","words","pos","stemmed","type","pattern"
"7","actual","anypos","n","strongsubj","^actual$"
"8","actuality","anypos","n","strongsubj","^actuality$"
"9","actually","anypos","n","strongsubj","^actually$"
"14","aha","anypos","y","strongsubj","^aha$"
"20","alliance","anypos","n","strongsubj","^alliance$"
"25","allusions","anypos","n","strongsubj","^allusions$"
"26","altogether","anypos","n","strongsubj","^altogether$"
"29","anyhow","anypos","y","strongsubj","^anyhow$"
"30","anyway","anypos","y","strongsubj","^anyway$"
"31","anyways","anypos","y","strongsubj","^anyways$"
"32","apparent","anypos","y","weaksubj","^apparent$"
"33","apparently","anypos","y","weaksubj","^apparently$"
"34","appear","anypos","y","weaksubj","^appear$"
"47","astronomically","anypos","n","strongsubj","^astronomically$"
"56","basically","anypos","n","weaksubj","^basically$"
"64","besides","anypos","y","strongsubj","^besides$"
"70","certain","anypos","y","weaksubj","^certain$"
"71","certainly","anypos","n","strongsubj","^certainly$"
"75","claim","anypos","y","weaksubj","^claim$"
"96","consequently","anypos","y","strongsubj","^consequently$"
"99","considerably","anypos","n","strongsubj","^considerably$"
"107","could","anypos","y","weaksubj","^could$"
"112","deeply","anypos","n","strongsubj","^deeply$"
"127","downright","anypos","n","strongsubj","^downright$"
"129","dramatically","anypos","n","strongsubj","^dramatically$"
"133","else","anypos","y","weaksubj","^else$"
"143","enough","anypos","y","weaksubj","^enough$"
"144","entire","anypos","n","weaksubj","^entire$"
"145","entirely","anypos","n","strongsubj","^entirely$"
"152","exactly","anypos","n","strongsubj","^exactly$"
"163","extensively","anypos","y","strongsubj","^extensively$"
"166","fact","anypos","n","strongsubj","^fact$"
"167","facts","anypos","n","strongsubj","^facts$"
"168","factual","anypos","n","weaksubj","^factual$"
"170","familiar","anypos","y","weaksubj","^familiar$"
"173","feel","anypos","n","strongsubj","^feel$"
"174","feels","anypos","n","strongsubj","^feels$"
"181","finally","anypos","y","strongsubj","^finally$"
"193","frankly","anypos","n","strongsubj","^frankly$"
"201","further","anypos","y","weaksubj","^further$"
"202","furthermore","anypos","y","strongsubj","^furthermore$"
"221","hm","anypos","y","strongsubj","^hm$"
"222","hmm","anypos","y","strongsubj","^hmm$"
"223","however","anypos","n","weaksubj","^however$"
"233","immediately","anypos","n","strongsubj","^immediately$"
"235","immensely","anypos","n","strongsubj","^immensely$"
"247","indeed","anypos","y","strongsubj","^indeed$"
"262","inkling","anypos","n","strongsubj","^inkling$"
"268","insights","anypos","n","strongsubj","^insights$"
"285","irregardless","anypos","n","strongsubj","^irregardless$"
"297","knowing","anypos","n","strongsubj","^knowing$"
"298","knowingly","anypos","n","strongsubj","^knowingly$"
"303","lastly","anypos","y","strongsubj","^lastly$"
"312","likely","anypos","y","weaksubj","^likely$"
"313","likewise","anypos","y","strongsubj","^likewise$"
"316","look","anypos","y","weaksubj","^look$"
"317","looking","anypos","y","weaksubj","^looking$"
"323","maybe","anypos","y","strongsubj","^maybe$"
"329","might","anypos","y","weaksubj","^might$"
"331","mm","anypos","n","strongsubj","^mm$"
"332","moreover","anypos","y","strongsubj","^moreover$"
"333","most","anypos","n","weaksubj","^most$"
"334","mostly","anypos","n","weaksubj","^mostly$"
"338","much","anypos","y","weaksubj","^much$"
"340","must","anypos","y","strongsubj","^must$"
"349","needfully","anypos","y","strongsubj","^needfully$"
"352","nevertheless","anypos","y","strongsubj","^nevertheless$"
"363","obvious","anypos","y","weaksubj","^obvious$"
"365","oh","anypos","y","strongsubj","^oh$"
"373","ought","anypos","y","strongsubj","^ought$"
"387","perhaps","anypos","y","strongsubj","^perhaps$"
"404","possible","anypos","y","weaksubj","^possible$"
"405","possibly","anypos","y","weaksubj","^possibly$"
"410","practically","anypos","n","weaksubj","^practically$"
"420","presumably","anypos","y","strongsubj","^presumably$"
"431","prove","anypos","y","weaksubj","^prove$"
"434","quite","anypos","y","strongsubj","^quite$"
"439","rather","anypos","y","weaksubj","^rather$"
"449","really","anypos","n","strongsubj","^really$"
"451","recognizable","anypos","y","weaksubj","^recognizable$"
"456","regardless","anypos","n","strongsubj","^regardless$"
"457","regardlessly","anypos","n","strongsubj","^regardlessly$"
"470","reveal","anypos","y","weaksubj","^reveal$"
"472","revelatory","anypos","y","strongsubj","^revelatory$"
"479","seem","anypos","y","weaksubj","^seem$"
"480","seemingly","anypos","y","strongsubj","^seemingly$"
"483","should","anypos","y","weaksubj","^should$"
"484","show","anypos","y","weaksubj","^show$"
"487","simply","anypos","y","weaksubj","^simply$"
"489","so","anypos","y","weaksubj","^so$"
"494","specifically","anypos","n","weaksubj","^specifically$"
"508","still","anypos","y","weaksubj","^still$"
"517","such","anypos","y","weaksubj","^such$"
"519","supposing","anypos","n","strongsubj","^supposing$"
"523","surprising","anypos","y","strongsubj","^surprising$"
"524","surprisingly","anypos","y","strongsubj","^surprisingly$"
"531","tantamount","anypos","n","strongsubj","^tantamount$"
"536","therefore","anypos","y","strongsubj","^therefore$"
"540","though","anypos","n","strongsubj","^though$"
"543","thus","anypos","y","strongsubj","^thus$"
"544","thusly","anypos","n","strongsubj","^thusly$"
"557","very","anypos","y","weaksubj","^very$"
"569","would","anypos","y","weaksubj","^would$"
"570","yeah","anypos","y","strongsubj","^yeah$"
