"","words","pos","stemmed","type","postag","pattern"
"1","absolute","adj","n","strongsubj","_jj","^absolute_jj"
"2","absolutely","adj","n","strongsubj","_jj","^absolutely_jj"
"3","absorbed","verb","n","weaksubj","_vb","^absorbed_vb"
"5","activist","adj","n","strongsubj","_jj","^activist_jj"
"6","activist","noun","n","strongsubj","_nn","^activist_nn"
"10","adolescents","adj","n","strongsubj","_jj","^adolescents_jj"
"11","adolescents","noun","n","strongsubj","_nn","^adolescents_nn"
"13","affected","adj","n","strongsubj","_jj","^affected_jj"
"16","alert","adj","n","weaksubj","_jj","^alert_jj"
"17","all-time","adj","n","weaksubj","_jj","^all-time_jj"
"18","all-time","noun","n","weaksubj","_nn","^all-time_nn"
"21","alliances","adj","n","strongsubj","_jj","^alliances_jj"
"22","alliances","noun","n","strongsubj","_nn","^alliances_nn"
"23","allusion","adj","n","strongsubj","_jj","^allusion_jj"
"24","allusion","noun","n","strongsubj","_nn","^allusion_nn"
"28","analytical","adj","n","weaksubj","_jj","^analytical_jj"
"35","appearance","adj","n","weaksubj","_jj","^appearance_jj"
"36","appearance","noun","n","weaksubj","_nn","^appearance_nn"
"39","assessment","adj","n","weaksubj","_jj","^assessment_jj"
"40","assessment","noun","n","weaksubj","_nn","^assessment_nn"
"41","assessments","adj","n","weaksubj","_jj","^assessments_jj"
"42","assessments","noun","n","weaksubj","_nn","^assessments_nn"
"43","assumption","adj","n","weaksubj","_jj","^assumption_jj"
"44","assumption","noun","n","weaksubj","_nn","^assumption_nn"
"45","astronomic","adj","n","strongsubj","_jj","^astronomic_jj"
"46","astronomical","adj","n","strongsubj","_jj","^astronomical_jj"
"48","attitude","adj","n","strongsubj","_jj","^attitude_jj"
"49","attitude","noun","n","strongsubj","_nn","^attitude_nn"
"50","attitudes","adj","n","weaksubj","_jj","^attitudes_jj"
"51","attitudes","noun","n","weaksubj","_nn","^attitudes_nn"
"52","awareness","noun","n","strongsubj","_nn","^awareness_nn"
"53","aware","adj","n","strongsubj","_jj","^aware_jj"
"54","baby","adj","n","strongsubj","_jj","^baby_jj"
"55","baby","noun","n","strongsubj","_nn","^baby_nn"
"57","batons","adj","n","weaksubj","_jj","^batons_jj"
"58","batons","noun","n","weaksubj","_nn","^batons_nn"
"59","belief","adj","n","strongsubj","_jj","^belief_jj"
"60","belief","noun","n","strongsubj","_nn","^belief_nn"
"61","beliefs","adj","n","weaksubj","_jj","^beliefs_jj"
"62","beliefs","noun","n","weaksubj","_nn","^beliefs_nn"
"65","big","adj","n","weaksubj","_jj","^big_jj"
"66","blood","adj","n","weaksubj","_jj","^blood_jj"
"67","broad-based","adj","n","weaksubj","_jj","^broad-based_jj"
"68","ceaseless","adj","n","weaksubj","_jj","^ceaseless_jj"
"69","central","adj","n","weaksubj","_jj","^central_jj"
"72","certified","adj","n","weaksubj","_jj","^certified_jj"
"73","chant","adj","n","weaksubj","_jj","^chant_jj"
"74","chant","noun","n","weaksubj","_nn","^chant_nn"
"76","clandestine","adj","n","weaksubj","_jj","^clandestine_jj"
"78","cognizance","adj","n","weaksubj","_jj","^cognizance_jj"
"79","cognizance","noun","n","weaksubj","_nn","^cognizance_nn"
"80","cognizant","noun","n","strongsubj","_nn","^cognizant_nn"
"81","comment","adj","n","weaksubj","_jj","^comment_jj"
"82","comment","noun","n","weaksubj","_nn","^comment_nn"
"83","commentator","adj","n","weaksubj","_jj","^commentator_jj"
"84","commentator","noun","n","weaksubj","_nn","^commentator_nn"
"85","complete","adj","n","weaksubj","_jj","^complete_jj"
"88","concerning","adj","n","weaksubj","_jj","^concerning_jj"
"89","concerning","noun","n","weaksubj","_nn","^concerning_nn"
"90","concerted","adj","n","weaksubj","_jj","^concerted_jj"
"93","conscience","adj","n","weaksubj","_jj","^conscience_jj"
"94","consciousness","adj","n","weaksubj","_jj","^consciousness_jj"
"95","consciousness","noun","n","weaksubj","_nn","^consciousness_nn"
"98","considerable","adj","n","strongsubj","_jj","^considerable_jj"
"100","consideration","adj","n","weaksubj","_jj","^consideration_jj"
"101","consideration","noun","n","weaksubj","_nn","^consideration_nn"
"102","constitutions","adj","n","weaksubj","_jj","^constitutions_jj"
"103","constitutions","noun","n","weaksubj","_nn","^constitutions_nn"
"105","continuous","adj","n","weaksubj","_jj","^continuous_jj"
"106","corrective","adj","n","weaksubj","_jj","^corrective_jj"
"108","covert","adj","n","weaksubj","_jj","^covert_jj"
"111","deep","adj","n","weaksubj","_jj","^deep_jj"
"113","dependent","adj","n","weaksubj","_jj","^dependent_jj"
"114","dependent","noun","n","weaksubj","_nn","^dependent_nn"
"115","destiny","adj","n","weaksubj","_jj","^destiny_jj"
"116","destiny","noun","n","weaksubj","_nn","^destiny_nn"
"117","difference","adj","n","weaksubj","_jj","^difference_jj"
"118","difference","noun","n","weaksubj","_nn","^difference_nn"
"119","diplomacy","adj","n","weaksubj","_jj","^diplomacy_jj"
"120","diplomacy","noun","n","weaksubj","_nn","^diplomacy_nn"
"121","direct","adj","n","weaksubj","_jj","^direct_jj"
"123","disposition","noun","n","strongsubj","_nn","^disposition_nn"
