words,pos,stemmed,type
absolute,adj,n,strongsubj
absolutely,adj,n,strongsubj
absorbed,verb,n,weaksubj
accentuate,verb,y,strongsubj
activist,adj,n,strongsubj
activist,noun,n,strongsubj
actual,anypos,n,strongsubj
actuality,anypos,n,strongsubj
actually,anypos,n,strongsubj
adolescents,adj,n,strongsubj
adolescents,noun,n,strongsubj
affect,verb,y,weaksubj
affected,adj,n,strongsubj
aha,anypos,y,strongsubj
air,verb,y,strongsubj
alert,adj,n,weaksubj
all-time,adj,n,weaksubj
all-time,noun,n,weaksubj
allegorize,verb,y,strongsubj
alliance,anypos,n,strongsubj
alliances,adj,n,strongsubj
alliances,noun,n,strongsubj
allusion,adj,n,strongsubj
allusion,noun,n,strongsubj
allusions,anypos,n,strongsubj
altogether,anypos,n,strongsubj
amplify,verb,y,weaksubj
analytical,adj,n,weaksubj
anyhow,anypos,y,strongsubj
anyway,anypos,y,strongsubj
anyways,anypos,y,strongsubj
apparent,anypos,y,weaksubj
apparently,anypos,y,weaksubj
appear,anypos,y,weaksubj
appearance,adj,n,weaksubj
appearance,noun,n,weaksubj
apprehend,verb,y,weaksubj
assess,verb,y,strongsubj
assessment,adj,n,weaksubj
assessment,noun,n,weaksubj
assessments,adj,n,weaksubj
assessments,noun,n,weaksubj
assumption,adj,n,weaksubj
assumption,noun,n,weaksubj
astronomic,adj,n,strongsubj
astronomical,adj,n,strongsubj
astronomically,anypos,n,strongsubj
attitude,adj,n,strongsubj
attitude,noun,n,strongsubj
attitudes,adj,n,weaksubj
attitudes,noun,n,weaksubj
awareness,noun,n,strongsubj
aware,adj,n,strongsubj
baby,adj,n,strongsubj
baby,noun,n,strongsubj
basically,anypos,n,weaksubj
batons,adj,n,weaksubj
batons,noun,n,weaksubj
belief,adj,n,strongsubj
belief,noun,n,strongsubj
beliefs,adj,n,weaksubj
beliefs,noun,n,weaksubj
believe,verb,y,strongsubj
besides,anypos,y,strongsubj
big,adj,n,weaksubj
blood,adj,n,weaksubj
broad-based,adj,n,weaksubj
ceaseless,adj,n,weaksubj
central,adj,n,weaksubj
certain,anypos,y,weaksubj
certainly,anypos,n,strongsubj
certified,adj,n,weaksubj
chant,adj,n,weaksubj
chant,noun,n,weaksubj
claim,anypos,y,weaksubj
clandestine,adj,n,weaksubj
cogitate,verb,y,strongsubj
cognizance,adj,n,weaksubj
cognizance,noun,n,weaksubj
cognizant,noun,n,strongsubj
comment,adj,n,weaksubj
comment,noun,n,weaksubj
commentator,adj,n,weaksubj
commentator,noun,n,weaksubj
complete,adj,n,weaksubj
completely,adverb,y,weaksubj
comprehend,verb,y,strongsubj
concerning,adj,n,weaksubj
concerning,noun,n,weaksubj
concerted,adj,n,weaksubj
confide,verb,y,strongsubj
conjecture,verb,y,strongsubj
conscience,adj,n,weaksubj
consciousness,adj,n,weaksubj
consciousness,noun,n,weaksubj
consequently,anypos,y,strongsubj
consider,verb,y,strongsubj
considerable,adj,n,strongsubj
considerably,anypos,n,strongsubj
consideration,adj,n,weaksubj
consideration,noun,n,weaksubj
constitutions,adj,n,weaksubj
constitutions,noun,n,weaksubj
contemplate,verb,y,strongsubj
continuous,adj,n,weaksubj
corrective,adj,n,weaksubj
could,anypos,y,weaksubj
covert,adj,n,weaksubj
decide,verb,y,weaksubj
deduce,verb,y,strongsubj
deep,adj,n,weaksubj
deeply,anypos,n,strongsubj
dependent,adj,n,weaksubj
dependent,noun,n,weaksubj
destiny,adj,n,weaksubj
destiny,noun,n,weaksubj
difference,adj,n,weaksubj
difference,noun,n,weaksubj
diplomacy,adj,n,weaksubj
diplomacy,noun,n,weaksubj
direct,adj,n,weaksubj
discern,verb,y,strongsubj
disposition,noun,n,strongsubj
distinctly,adj,n,weaksubj
dominant,adj,n,weaksubj
dominant,noun,n,weaksubj
downright,anypos,n,strongsubj
dramatic,adj,n,strongsubj
dramatically,anypos,n,strongsubj
duty,noun,n,weaksubj
effectively,adverb,n,weaksubj
elaborate,adj,n,strongsubj
else,anypos,y,weaksubj
embodiment,noun,n,strongsubj
emotion,adj,n,strongsubj
emotion,noun,n,strongsubj
emotions,adj,n,weaksubj
emotions,noun,n,weaksubj
emphasise,adj,n,weaksubj
