words,pos,stemmed,type,pattern
abide,anypos,y,strongsubj,^abide$
above,anypos,n,weaksubj,^above$
acclamation,anypos,y,strongsubj,^acclamation$
achievement,anypos,n,weaksubj,^achievement$
achievements,anypos,n,weaksubj,^achievements$
admirable,anypos,n,strongsubj,^admirable$
admirably,anypos,n,strongsubj,^admirably$
admittedly,anypos,y,strongsubj,^admittedly$
adorer,anypos,y,strongsubj,^adorer$
adoringly,anypos,n,strongsubj,^adoringly$
adulation,anypos,y,strongsubj,^adulation$
agreeability,anypos,y,strongsubj,^agreeability$
agreeable,anypos,y,strongsubj,^agreeable$
agreeableness,anypos,y,strongsubj,^agreeableness$
agreeably,anypos,y,strongsubj,^agreeably$
alluring,anypos,n,strongsubj,^alluring$
alluringly,anypos,n,strongsubj,^alluringly$
amazing,anypos,y,strongsubj,^amazing$
amazingly,anypos,n,strongsubj,^amazingly$
ambitiously,anypos,y,weaksubj,^ambitiously$
amusing,anypos,y,strongsubj,^amusing$
amusingly,anypos,y,strongsubj,^amusingly$
appreciative,anypos,n,strongsubj,^appreciative$
appreciatively,anypos,y,strongsubj,^appreciatively$
appreciativeness,anypos,y,strongsubj,^appreciativeness$
ardently,anypos,n,strongsubj,^ardently$
arousal,anypos,y,strongsubj,^arousal$
arousing,anypos,y,strongsubj,^arousing$
assuredly,anypos,n,strongsubj,^assuredly$
astonishing,anypos,y,strongsubj,^astonishing$
astonishingly,anypos,n,strongsubj,^astonishingly$
astounding,anypos,n,strongsubj,^astounding$
astounding,anypos,y,strongsubj,^astounding$
astoundingly,anypos,n,strongsubj,^astoundingly$
attractively,anypos,y,strongsubj,^attractively$
avidly,anypos,n,strongsubj,^avidly$
awesome,anypos,y,strongsubj,^awesome$
awesomely,anypos,n,strongsubj,^awesomely$
beautiful,anypos,y,strongsubj,^beautiful$
beautifully,anypos,n,strongsubj,^beautifully$
beneficial,anypos,y,strongsubj,^beneficial$
beneficially,anypos,y,strongsubj,^beneficially$
best,anypos,y,strongsubj,^best$
better,anypos,y,weaksubj,^better$
breathtakingly,anypos,n,strongsubj,^breathtakingly$
brighten,anypos,y,weaksubj,^brighten$
brilliant,anypos,y,strongsubj,^brilliant$
brilliantly,anypos,n,strongsubj,^brilliantly$
calming,anypos,y,strongsubj,^calming$
celebratory,anypos,y,strongsubj,^celebratory$
champion,anypos,y,weaksubj,^champion$
charming,anypos,n,strongsubj,^charming$
clear,anypos,y,weaksubj,^clear$
clearly,anypos,n,strongsubj,^clearly$
comforting,anypos,n,strongsubj,^comforting$
competitiveness,anypos,n,weaksubj,^competitiveness$
complimentary,anypos,n,strongsubj,^complimentary$
congratulatory,anypos,y,strongsubj,^congratulatory$
convenient,anypos,n,strongsubj,^convenient$
conveniently,anypos,y,strongsubj,^conveniently$
convincingly,anypos,n,strongsubj,^convincingly$
correct,anypos,y,weaksubj,^correct$
correctly,anypos,y,strongsubj,^correctly$
courageously,anypos,n,strongsubj,^courageously$
curious,anypos,y,strongsubj,^curious$
curiously,anypos,y,strongsubj,^curiously$
daring,anypos,n,strongsubj,^daring$
