"","words","pos","stemmed","type","stems","postag","pattern"
"1","abound","verb","y","weaksubj","abound","_vb","^abound[a-z]*_vb"
"2","absolve","verb","y","strongsubj","absolv","_vb","^absolv[a-z]*_vb"
"3","accede","verb","y","strongsubj","acced","_vb","^acced[a-z]*_vb"
"4","accept","verb","y","weaksubj","accept","_vb","^accept[a-z]*_vb"
"5","acclaim","verb","y","strongsubj","acclaim","_vb","^acclaim[a-z]*_vb"
"6","accomplish","verb","y","weaksubj","accomplish","_vb","^accomplish[a-z]*_vb"
"7","accord","verb","y","weaksubj","accord","_vb","^accord[a-z]*_vb"
"8","achieve","verb","y","weaksubj","achiev","_vb","^achiev[a-z]*_vb"
"9","acknowledge","verb","y","weaksubj","acknowledg","_vb","^acknowledg[a-z]*_vb"
"10","acquit","verb","y","weaksubj","acquit","_vb","^acquit[a-z]*_vb"
"11","admire","verb","y","strongsubj","admir","_vb","^admir[a-z]*_vb"
"12","admit","verb","y","strongsubj","admit","_vb","^admit[a-z]*_vb"
"13","adore","verb","y","strongsubj","ador","_vb","^ador[a-z]*_vb"
"14","adulate","verb","y","strongsubj","adulat","_vb","^adulat[a-z]*_vb"
"15","advocate","verb","y","strongsubj","advocat","_vb","^advocat[a-z]*_vb"
"16","affirm","verb","y","strongsubj","affirm","_vb","^affirm[a-z]*_vb"
"17","afford","verb","y","weaksubj","afford","_vb","^afford[a-z]*_vb"
"18","agree","verb","y","strongsubj","agree","_vb","^agree[a-z]*_vb"
"19","allay","verb","y","strongsubj","allay","_vb","^allay[a-z]*_vb"
"20","allay","verb","y","strongsubj","allai","_vb","^allai[a-z]*_vb"
"21","alleviate","verb","y","weaksubj","alleviat","_vb","^alleviat[a-z]*_vb"
"22","allow","verb","y","weaksubj","allow","_vb","^allow[a-z]*_vb"
"23","allure","verb","y","strongsubj","allur","_vb","^allur[a-z]*_vb"
"24","ally","noun","y","strongsubj","ally","_nn","^ally[a-z]*_vb"
"25","ally","noun","y","strongsubj","alli","_nn","^alli[a-z]*_vb"
"26","amaze","verb","y","strongsubj","amaz","_vb","^amaz[a-z]*_vb"
"27","ameliorate","verb","y","strongsubj","ameliorat","_vb","^ameliorat[a-z]*_vb"
"28","amuse","verb","y","strongsubj","amus","_vb","^amus[a-z]*_vb"
"29","appeal","verb","y","weaksubj","appeal","_vb","^appeal[a-z]*_vb"
"30","appease","verb","y","weaksubj","appeas","_vb","^appeas[a-z]*_vb"
"31","applaud","verb","y","strongsubj","applaud","_vb","^applaud[a-z]*_vb"
"32","appreciate","verb","y","strongsubj","appreciat","_vb","^appreciat[a-z]*_vb"
"33","approve","verb","y","weaksubj","approv","_vb","^approv[a-z]*_vb"
"34","arouse","verb","y","strongsubj","arous","_vb","^arous[a-z]*_vb"
"35","aspire","verb","y","strongsubj","aspir","_vb","^aspir[a-z]*_vb"
"36","assent","verb","y","strongsubj","assent","_vb","^assent[a-z]*_vb"
"37","assuage","verb","y","weaksubj","assuag","_vb","^assuag[a-z]*_vb"
"38","assure","verb","y","strongsubj","assur","_vb","^assur[a-z]*_vb"
"39","astonish","verb","y","strongsubj","astonish","_vb","^astonish[a-z]*_vb"
"40","astound","verb","y","strongsubj","astound","_vb","^astound[a-z]*_vb"
"41","attain","verb","y","weaksubj","attain","_vb","^attain[a-z]*_vb"
"42","attest","verb","y","strongsubj","attest","_vb","^attest[a-z]*_vb"
"43","award","verb","y","weaksubj","award","_vb","^award[a-z]*_vb"
"44","aver","verb","y","strongsubj","aver","_vb","^aver[a-z]*_vb"
"45","awe","verb","y","strongsubj","aw","_vb","^aw[a-z]*_vb"
"46","back","verb","y","weaksubj","back","_vb","^back[a-z]*_vb"
"47","bask","verb","y","weaksubj","bask","_vb","^bask[a-z]*_vb"
"48","beatify","verb","y","strongsubj","beatify","_vb","^beatify[a-z]*_vb"
"49","beatify","verb","y","strongsubj","beatifi","_vb","^beatifi[a-z]*_vb"
"50","beautify","verb","y","strongsubj","beautify","_vb","^beautify[a-z]*_vb"
"51","beautify","verb","y","strongsubj","beautifi","_vb","^beautifi[a-z]*_vb"
