words,pos,stemmed,type
abidance,adj,n,strongsubj
abidance,noun,n,strongsubj
abide,anypos,y,strongsubj
abilities,noun,n,weaksubj
ability,noun,n,weaksubj
able,adj,n,weaksubj
above,anypos,n,weaksubj
above-average,adj,n,weaksubj
abound,verb,y,weaksubj
absolve,verb,y,strongsubj
abundant,adj,n,weaksubj
abundance,noun,n,weaksubj
accede,verb,y,strongsubj
accept,verb,y,weaksubj
acceptance,noun,n,weaksubj
acceptable,adj,n,weaksubj
accessible,adj,n,weaksubj
acclaim,noun,n,strongsubj
acclaim,verb,y,strongsubj
acclaimed,adj,n,strongsubj
acclamation,anypos,y,strongsubj
accolade,noun,n,strongsubj
accolades,noun,n,strongsubj
accommodative,adj,n,weaksubj
accomplish,verb,y,weaksubj
accomplishment,noun,n,weaksubj
accomplishments,noun,n,weaksubj
accord,verb,y,weaksubj
accordance,noun,n,weaksubj
accordantly,adverb,n,weaksubj
accurate,adj,n,weaksubj
accurately,adj,n,weaksubj
achievable,adj,n,weaksubj
achieve,verb,y,weaksubj
achievement,anypos,n,weaksubj
achievements,anypos,n,weaksubj
acknowledge,verb,y,weaksubj
acknowledgement,noun,n,weaksubj
acquit,verb,y,weaksubj
active,adj,n,weaksubj
acumen,noun,n,strongsubj
adaptable,adj,n,weaksubj
adaptability,noun,n,weaksubj
adaptive,adj,n,weaksubj
adept,adj,n,weaksubj
adeptly,adverb,n,weaksubj
adequate,adj,n,weaksubj
adherence,noun,n,weaksubj
adherent,adj,n,weaksubj
adhesion,noun,n,weaksubj
admirable,adj,n,strongsubj
admirer,noun,n,strongsubj
admirable,anypos,n,strongsubj
admirably,anypos,n,strongsubj
admiration,noun,n,strongsubj
admire,verb,y,strongsubj
admiring,adj,n,strongsubj
admiringly,adj,n,strongsubj
admission,adj,n,weaksubj
admission,noun,n,weaksubj
admit,verb,y,strongsubj
admittedly,anypos,y,strongsubj
adorable,adj,n,strongsubj
adore,verb,y,strongsubj
adored,adj,n,strongsubj
adorer,anypos,y,strongsubj
adorer,noun,n,strongsubj
adoring,adj,n,strongsubj
adoringly,anypos,n,strongsubj
adroit,adj,n,strongsubj
adroitly,adj,n,strongsubj
adulate,verb,y,strongsubj
adulation,anypos,y,strongsubj
adulatory,adj,n,strongsubj
advanced,adj,n,weaksubj
advantage,adj,n,weaksubj
advantage,noun,n,weaksubj
advantageous,adj,n,strongsubj
advantages,adj,n,weaksubj
advantages,noun,n,weaksubj
adventure,adj,n,weaksubj
adventure,noun,n,weaksubj
adventuresome,noun,n,strongsubj
adventurism,noun,n,strongsubj
adventurous,adj,n,weaksubj
advice,adj,n,weaksubj
advice,noun,n,weaksubj
advisable,noun,n,weaksubj
advocate,verb,y,strongsubj
advocacy,noun,n,strongsubj
affable,adj,n,strongsubj
affability,noun,n,weaksubj
affably,adverb,n,weaksubj
affection,adj,n,strongsubj
affection,noun,n,strongsubj
affectionate,adj,n,strongsubj
affinity,noun,n,weaksubj
affirm,verb,y,strongsubj
affirmation,adj,n,strongsubj
affirmation,noun,n,strongsubj
affirmative,noun,n,weaksubj
affluent,adj,n,weaksubj
affluence,noun,n,weaksubj
afford,verb,y,weaksubj
affordable,adj,n,weaksubj
afloat,adj,n,weaksubj
agile,adj,n,weaksubj
agilely,adverb,n,weaksubj
agility,noun,n,weaksubj
agree,verb,y,strongsubj
agreeability,anypos,y,strongsubj
agreeable,adj,n,weaksubj
agreeable,anypos,y,strongsubj
agreeableness,anypos,y,strongsubj
agreeably,anypos,y,strongsubj
agreement,adj,n,weaksubj
agreement,noun,n,weaksubj
allay,verb,y,strongsubj
alleviate,verb,y,weaksubj
allow,verb,y,weaksubj
allowable,adj,n,weaksubj
allure,verb,y,strongsubj
allure,noun,n,strongsubj
alluring,anypos,n,strongsubj
alluringly,anypos,n,strongsubj
ally,noun,y,strongsubj
almighty,adj,n,strongsubj
altruist,noun,n,strongsubj
altruistic,adj,n,strongsubj
altruistically,adj,n,strongsubj
amaze,verb,y,strongsubj
amazed,adj,n,strongsubj
amazement,noun,n,strongsubj
amazing,adj,n,strongsubj
amazing,anypos,y,strongsubj
amazingly,anypos,n,strongsubj
ambitious,adj,n,weaksubj
ambitious,noun,n,weaksubj
ambitiously,anypos,y,weaksubj
ameliorate,verb,y,strongsubj
amenable,adj,n,strongsubj
amenity,noun,n,weaksubj
amiability,noun,n,strongsubj
amiabily,adverb,n,strongsubj
amiable,adj,n,strongsubj
amicability,noun,n,strongsubj
amicable,adj,n,strongsubj
amicably,adverb,n,strongsubj
amity,adj,n,weaksubj
amity,noun,n,weaksubj
amnesty,noun,n,weaksubj
amour,noun,n,strongsubj
ample,adj,n,weaksubj
