word,value
wondrously,5
delightfully,5
gorgeously,5
exceptionally,5
excellently,5
wonderfully,5
magnificently,5
spectacularly,5
flawlessly,5
scrumptiously,5
outstandingly,5
perfectly,5
marvelously,5
awesomely,5
divinely,5
breathtakingly,5
impeccably,5
exclusively,5
fabulously,5
adorably,5
brilliantly,5
amazingly,5
dazzlingly,5
incredibly,5
gloriously,5
terrifically,5
orgasmically,5
enjoyably,4
pleasingly,4
jubilantly,4
great,4
magically,4
handsomely,4
exuberantly,4
engagingly,4
elegantly,4
admirably,4
superbly,4
lovably,4
masterfully,4
ingeniously,4
splendidly,4
refreshingly,4
happily,4
endearingly,4
supremely,4
phenomenally,4
charmingly,4
innovatively,4
deliciously,4
miraculously,4
enchantingly,4
engrossingly,4
hilariously,4
beautifully,4
intelligently,4
joyously,4
attractively,4
exquisitely,4
jaw-droppingly,4
benevolently,4
radiantly,4
enthusiastically,4
rechargeable,4
peacefully,3
stylishly,3
exotically,3
extensively,3
meticulously,3
sweetly,3
imaginitively,3
commendably,3
tremendously,3
courteously,3
lovingly,3
popularly,3
cutely,3
easily,3
good,3
richly,3
ruggedly,3
satisfyingly,3
newly,3
free,3
poignantly,3
cheerfully,3
accurately,3
positively,3
intriguingly,3
thrillingly,3
favorably,3
creatively,3
festively,3
passionately,3
expertly,3
captivatingly,3
gracefully,3
artfully,3
deftly,3
impressively,3
intellectually,3
vividly,3
extraordinarily,3
cleverly,3
imaginatively,3
ergonomicly,3
correctly,3
seamlessly,3
freely,3
wittily,3
fearlessly,3
brightly,3
flexibly,3
adeptly,3
tenderly,3
wisely,3
triumphantly,3
effortlessly,3
pleasantly,3
uproariously,3
enormously,3
amusingly,3
dearly,3
amply,3
successfully,3
humorously,3
patiently,3
memorably,3
pricelessly,3
entertainingly,3
ergonomically,3
boldly,3
powerfully,3
conveniently,3
resoundingly,3
adroitly,3
romantically,3
astoundingly,3
heroically,3
energetically,3
soulfully,3
generously,3
courageously,3
valiantly,3
affordably,3
dependably,3
affordable,3
inexpensively,3
fortunately,2
professionally,2
remarkably,2
chicly,2
suspensefully,2
intricately,2
aptly,2
nicely-finished,2
consistently,2
reliably,2
lyrically,2
suitably,2
genuinely,2
appropriately,2
intensively,2
heartily,2
eternally,2
gladly,2
bravely,2
