word,value
expensive,-1
dummy,-1
r-rated,-1
rainy,-1
torrid,-1
absent,-1
alcoholic,-1
ambitious,-1
analytical,-1
apologetic,-1
as-is,-1
asthmatic,-1
bare,-1
base-level,-1
bearable,-1
beefy,-1
blank,-1
blunt,-1
borderline,-1
boxy,-1
brain-racking,-1
brave,-1
brief,-1
bumpy,-1
businesslike,-1
busy,-1
cautious,-1
c-class,-1
childlike,-1
child-like,-1
chilly,-1
choppy,-1
clinical,-1
cloudy,-1
cold,-1
commercial,-1
complex,-1
compulsive,-1
conservative,-1
controversial,-1
conventional,-1
cooler-than-usual,-1
crazed,-1
crazy,-1
crooked,-1
cryptic,-1
deadly,-1
debatable,-1
defensive,-1
dim,-1
disabled,-1
disconcerting,-1
discouraging,-1
disobedient,-1
distant,-1
drab,-1
earthy,-1
eccentric,-1
eerie,-1
emotional,-1
emotionally-invested,-1
endless,-1
episodic,-1
explicit,-1
faint,-1
fictitious,-1
floppy,-1
fluffy,-1
fragile,-1
frayed,-1
frilly,-1
gray,-1
grey,-1
hairy,-1
half-expected,-1
handicapped,-1
hang-ups,-1
hard,-1
hard-hitting,-1
hard-nosed,-1
hard-pressed,-1
haunting,-1
heavy,-1
hesitant,-1
ho-hum,-1
homeless,-1
hyperactive,-1
idealistic,-1
idle,-1
imperfect,-1
impossible,-1
imprecise,-1
inappropriate-for-children,-1
inattentive,-1
incapable,-1
inconsistent,-1
inevitable,-1
inexperienced,-1
inexplicable,-1
inexpressible,-1
inopportune,-1
insignificant,-1
insufficient,-1
intermittent,-1
intoxicated,-1
irregular,-1
irrelevant,-1
irreverent,-1
jittery,-1
late,-1
late-night,-1
lean,-1
lengthy,-1
lesser-known,-1
little,-1
lofty,-1
lone,-1
loose,-1
low-budget,-1
low-end,-1
low-flying,-1
low-rent,-1
marginal,-1
mass-market,-1
mass-marketed,-1
materialistic,-1
melancholic,-1
middling-to-weak,-1
mid-line,-1
mid-range,-1
mind-boggling,-1
mini-conflict,-1
minimal,-1
minimum,-1
monolithic,-1
moody,-1
moot,-1
mushy,-1
narrow,-1
nasal,-1
naughty,-1
neat-freak,-1
needless,-1
negative,-1
nerd-like,-1
nervous,-1
nonchalant,-1
non-descript,-1
non-gourmet,-1
obtrusive,-1
odd,-1
off-cambered,-1
off-center,-1
offhand,-1
off-topic,-1
old,-1
old-fashioned,-1
old-hat,-1
old-school,-1
old-soul,-1
ostentatious,-1
out-of-it,-1
outrageous,-1
outspoken,-1
over-boosted,-1
over-developed,-1
overdrive,-1
overwhelming,-1
over-whelming,-1
pale,-1
paper-thin,-1
papery,-1
piano-heavy,-1
plain,-1
plasticky,-1
political,-1
portly,-1
power-mad,-1
preachy,-1
pre-owned,-1
prevalent,-1
pricey,-1
prim,-1
prolonged,-1
prone,-1
proprietary,-1
protective,-1
puzzling,-1
queer,-1
questionable,-1
radical,-1
rambling,-1
rampant,-1
raspy,-1
raw,-1
red-blooded,-1
redundant,-1
reliant,-1
religious,-1
reluctant,-1
remorseless,-1
remote,-1
repetitious,-1
repetitive,-1
replete,-1
resource-heavy,-1
restless,-1
revealing,-1
rigid,-1
ringed,-1
ripe,-1
rival,-1
rocky,-1
rough,-1
salvageable,-1
scarce,-1
self-described,-1
sequal,-1
serious,-1
severe,-1
shifty,-1
shocking,-1
short,-1
showy,-1
shy,-1
silly,-1
simplistic,-1
slack-jawed,-1
slightly-predictable,-1
slightly-skewed,-1
