word,value
better,0
mega-success,5
priceless,5
exquisite,5
fascinating,5
phenomenal,5
top-notch,5
top-quality,5
top-rate,5
adorable,5
all-star,5
amazing,5
angelic,5
award-winning,5
awesome,5
best,5
best-drawn,5
best-handling,5
bestselling,5
breathtaking,5
breath-taking,5
brilliant,5
dazzling,5
decadent,5
delicious,5
delightful,5
deluxe,5
divine,5
dreamlike,5
dreamy,5
ecstatic,5
excellent,5
exceptional,5
exciting,5
exclusive,5
extraordinary,5
fabulous,5
fantastic,5
feature-packed,5
five-diamond,5
five-star,5
flawless,5
full-service,5
glorious,5
gorgeous,5
heavenly,5
immaculate,5
impeccable,5
incredible,5
lake-view,5
magnificent,5
marvellous,5
marvelous,5
mouth-watering,5
orgasmic,5
oscar-worthy,5
outstanding,5
panoramic,5
perfect,5
piano-blessed,5
prestigious,5
rapturous,5
scrumptious,5
sensational,5
spectacular,5
super-luxury,5
terrific,5
unmatched,5
wonderful,5
wondrous,5
awestruck,5
wonderous,5
sublime,5
stupendous,5
peerless,5
euphoric,5
valiant,4
compelling,4
grand,4
great,4
hit-making,4
legendary,4
much-admired,4
poignant,4
pristine,4
absorbing,4
admirable,4
all-you-can-eat,4
altruistic,4
beautiful,4
beloved,4
benevolent,4
better-feeling,4
better-like,4
better-than-before,4
brand-new,4
brand-spankin,4
brand-spankin'-new,4
charming,4
consummate,4
cool-looking,4
darker-and-funnier-than-expected,4
desirable,4
elegant,4
enchanting,4
endearing,4
engaging,4
engrossing,4
enjoyable,4
enlightened,4
enthralling,4
enthusiastic,4
enviable,4
exotic,4
exuberant,4
fast-cooking,4
favorite,4
finest,4
fine-dining,4
first-class,4
first-rate,4
fortunate,4
friendly,4
fun-filled,4
fun-to-drive,4
handsome,4
happy,4
hilarious,4
holy,4
ideal,4
idyllic,4
impressive,4
in-demand,4
ingenious,4
innovative,4
intelligent,4
international-gourmet,4
jam-packed,4
jaw-dropping,4
joyous,4
jubilant,4
king-size,4
king-sized,4
lavish,4
lovable,4
lucious,4
luminous,4
luscious,4
luxurious,4
magical,4
masterful,4
mesmerizing,4
miraculous,4
must-have,4
near-perfect,4
optimum,4
oscar-winning,4
pampered,4
peaceful,4
pleasant,4
pleasing,4
portable,4
profound,4
radiant,4
rechargeable,4
refined,4
refreshing,4
regal,4
remarkable,4
removable,4
ritz-carlton,4
scenic,4
sexy,4
spacious,4
splendid,4
spotless,4
stellar,4
streamlined,4
stream-lined,4
stunning,4
stylish,4
superb,4
superior,4
supreme,4
ultra-compact,4
unforgettable,4
up-and-coming,4
upbeat,4
upcoming,4
upgradable,4
upgradeable,4
well-acted,4
well-assembled,4
well-behaved,4
well-built,4
well-bundled,4
well-cropped,4
well-dampened,4
well-defined,4
well-developed,4
well-done,4
well-dressed,4
well-equipped,4
well-fitting,4
well-kept,4
well-made,4
well-muted,4
well-placed,4
well-produced,4
well-researched,4
well-trained,4
well-tuned,4
well-written,4
worthy,4
loveable,4
virtuoso,4
acclaimed,4
riveting,4
epic,4
vivacious,4
vibrant,4
resplendent,4
opulent,4
momentous,4
matchless,4
majestic,4
joyful,4
invulnerable,4
invaluable,4
inestimable,4
exemplary,4
eminent,4
elated,4
ebullient,4
delighted,4
blissful,4
beauteous,4
adored,4
pre-eminent,4
preeminent,4
ass-kicking,3
genre-breaking,3
intense,3
lotus-like,3
meaningful,3
organic,3
hysterical,3
inventive,3
lasting,3
lyrical,3
masterly,3
poetic,3
quintessential,3
recommendable,3
top-dollar,3
top-rack,3
abundant,3
accessible,3
action-packed,3
adventurous,3
affluent,3
all-out,3
all-too-rare,3
ample,3
amusing,3
appealing,3
appreciative,3
artistic,3
artful,3
astonishing,3
astute,3
available,3
bold,3
borderless,3
bright,3
buff,3
built-to-last,3
captivating,3
charismatic,3
cheerful,3
classic,3
classy,3
clear-cut,3
clever,3
commendable,3
comprehensive,3
considerate,3
convenient,3
cordless,3
correct,3
courteous,3
cozy,3
creative,3
cute,3
dandy,3
dear,3
deft,3
dependable,3
deserving,3
dope,3
durable,3
easy-to-carry,3
easy-to-read,3
easy-to-use,3
economic,3
economical,3
educational,3
effortless,3
energetic,3
energy-saving,3
enormous,3
ergonomic,3
ever-wonderful,3
expansive,3
extensive,3
famous,3
fanciful,3
favorable,3
fearless,3
feel-good,3
festive,3
flexible,3
flicker-free,3
