word,value
contradiction,-1
irony,-1
murder,-1
novice,-1
taboo,-1
tempest,-1
accommodation,-1
accident,-1
allegation,-1
ambiguity,-1
anomaly,-1
anxiety,-1
apprehension,-1
argument,-1
assassination,-1
attempt,-1
avoidance,-1
bandit,-1
barbarian,-1
beast,-1
blemish,-1
bluff,-1
blur,-1
bondage,-1
bout,-1
bravado,-1
breach,-1
brood,-1
bureaucracy,-1
cancellation,-1
catch,-1
challenge,-1
clog,-1
collision,-1
combat,-1
complexity,-1
concern,-1
conformity,-1
confrontation,-1
convention,-1
cost,-1
cramp,-1
craziness,-1
credulity,-1
criticism,-1
darkness,-1
death,-1
deficit,-1
delay,-1
denial,-1
dent,-1
detachment,-1
detour,-1
deviation,-1
devil,-1
difficulty,-1
din,-1
dirt,-1
disagreement,-1
disbelief,-1
discomfort,-1
discontent,-1
discord,-1
disease,-1
disobedience,-1
dispute,-1
dissent,-1
dissolution,-1
distraction,-1
disturbance,-1
doubt,-1
duty,-1
eccentricity,-1
emergency,-1
enemy,-1
entanglement,-1
evasion,-1
exclusion,-1
exhaustion,-1
fallacy,-1
fallout,-1
fate,-1
fatigue,-1
feint,-1
ferocity,-1
formality,-1
frenzy,-1
fretful,-1
frown,-1
fury,-1
fuss,-1
generalization,-1
germ,-1
grief,-1
gulf,-1
hallucination,-1
hardship,-1
hassle,-1
haughtiness,-1
hazard,-1
haze,-1
hunger,-1
hurtle,-1
idleness,-1
illegality,-1
illness,-1
imprecision,-1
imprisonment,-1
inconvenience,-1
indifference,-1
inequality,-1
ineffectualness,-1
infallibility,-1
infiltration,-1
infringement,-1
inhibition,-1
issue,-1
instability,-1
insufficiency,-1
interference,-1
interruption,-1
intrusion,-1
irregularity,-1
irritation,-1
jargon,-1
jealousy,-1
lament,-1
lapse,-1
leak,-1
liquidation,-1
maladjustment,-1
mantra,-1
misbehavior,-1
mischief,-1
mishap,-1
noise,-1
no_frills,-1
nullification,-1
objection,-1
oddity,-1
omission,-1
opulence,-1
outcast,-1
oversight,-1
oversimplification,-1
paralysis,-1
penalty,-1
peril,-1
persecution,-1
pessimism,-1
phobia,-1
poison,-1
predicament,-1
predictability,-1
presumption,-1
pressure,-1
procrastination,-1
preoccupation,-1
prohibition,-1
puzzlement,-1
quandary,-1
quarrel,-1
quibble,-1
rascal,-1
remorse,-1
reservation,-1
resignation,-1
restlessness,-1
restraint,-1
risk,-1
rogue,-1
rouse,-1
rumor,-1
sadness,-1
sarcasm,-1
scarcity,-1
scheme,-1
scuffle,-1
secrecy,-1
shadow,-1
shark,-1
shenanigan,-1
shrew,-1
shyness,-1
skirmish,-1
slop,-1
stalemate,-1
straggler,-1
strangeness,-1
stress,-1
suppression,-1
symptom,-1
temper,-1
thirst,-1
torrent,-1
tramp,-1
trick,-1
turmoil,-1
ultimatum,-1
unemployment,-1
unrest,-1
unsteadiness,-1
untruth,-1
void,-1
warning,-1
weariness,-1
weirdness,-1
yawn,-1
crook,-1
flattery,-1
inflation,-1
infraction,-1
jeopardy,-1
pomp,-1
passitivity,-1
scrutiny,-1
breakup,-1
bully,-1
crotch,-1
predator,-1
zombie,-1
overuse,-1
sentimentality,-1
scam-artist,-1
paranoia,-1
bible-thumper,-1
abuser,-1
not_$PRP_(cup)_of_tea,-1
clutches ,-1
loser ,-1
dilemma,-1
indulgence,-1
angst,-1
over-reliance,-1
mismatch,-1
whine,-1
thud,-1
shortfall,-1
scuff,-1
harshness,-1
drawback,-1
misconception,-1
incident,-1
bum,-1
sore,-1
crack,-1
bump,-1
jolt,-1
lag,-1
rigidity,-1
obscurity,-1
glitch,-1
clone,-1
worry,-1
demise,-1
quibble,-1
gimmick,-1
discoloration,-1
trepidation,-1
claustrophobia,-1
imposition,-1
extreme,-1
belch,-1
blabbermouth,-1
negativity,-1
creepiness,-1
rowdiness,-1
rambing,-1
aloofness,-1
passive-agressiveness,-1
abandon,-1
offense,-1
gimmick,-1
flimsiness,-1
mish-mash,-1
melancholy,-1
disconnect,-1
hiss,-1
volatility,-1
unlawfulness,-1
miscalculation,-1
malaise,-1
isolation,-1
intimidation,-1
inexperience,-1
extremism,-1
excuse,-1
disorder,-1
deluge,-1
alienation,-1
uneasiness,-1
unease,-1
timidness,-1
stubbornness,-1
rift,-1
remorselessness,-1
ploy,-1
pity,-1
passiveness,-1
overkill,-1
nervousness,-1
misunderstanding,-1
mistrust,-1
misgiving,-1
misfit,-1
misdirection,-1
lawlessness,-1
lackey,-1
jeer,-1
irrelevance,-1
insensitivity,-1
inelegance,-1
inefficacy,-1
imprudence,-1
impropriety,-1
impasse,-1
ill-usage,-1
ill-treatment,-1
illogic,-1
huckster,-1
hothead,-1
grouch,-1
gaffe,-1
extravagance,-1
envy,-1
enviousness,-1
emptiness,-1
egotism,-1
downside,-1
domination,-1
dissention,-1
disrespectfulness,-1
disrespectablity,-1
disregard,-1
disloyal,-1
disinterest,-1
disadvantageous,-1
disaccord,-1
destabilisation,-1
despotism,-1
dearth,-1
dangerousness,-1
cheat,-1
disunity,-1
capriciousness,-1
brazenness,-1
bombardment,-1
imperfection,-1
stereotype,-2
audacity,-2
affliction,-2
accusation,-2
anger,-2
annoyance,-2
anticlimax,-2
antipathy,-2
assault,-2
attack,-2
aversion,-2
awkwardness,-2
bandwagon,-2
barrier,-2
beggar,-2
bitterness,-2
blame,-2
bloodshed,-2
blunder,-2
boast,-2
bother,-2
brawl,-2
brute,-2
carelessness,-2
caricature,-2
casualty,-2
chaos,-2
cheater,-2
cheek,-2
clamor,-2
clash,-2
cliche,-2
