word,value
masterpiece,5
perfection,5
classic,4
mastery,4
wonder,4
zenith,4
beauty,4
bliss,4
brilliance,4
culmination,4
ecstasy,4
excellence,4
exhilaration,4
genius,4
magnificence,4
tour-de-force,4
pinnacle,4
revelation,4
jubilation,4
euphoria,4
elation,3
stud,3
angel,3
freshness,3
gaiety,3
heroism,3
honor,3
intelligence,3
love,3
profoundness,3
thoughtfulness,3
valor,3
wisdom,3
accomplishment,3
allure,3
affection,3
admiration,3
achievement,3
asset,3
awe,3
benefit,3
boldness,3
bounty,3
bravery,3
brightness,3
champion,3
charisma,3
charm,3
cheer,3
commendation,3
creativity,3
dedication,3
delight,3
devotion,3
divinity,3
elation,3
eminence,3
enchantment,3
enjoyment,3
exuberance,3
exultation,3
faithfulness,3
fascination,3
favorite,3
fulfillment,3
fun,3
glee,3
glory,3
grace,3
greatness,3
gusto,3
heaven,3
humanity,3
ingenuity,3
insight,3
inspiration,3
joy,3
loveliness,3
majesty,3
marvel,3
milestone,3
nobility,3
originality,3
panache,3
pleasure,3
potency,3
prowess,3
radiance,3
rapture,3
redeem,3
renaissance,3
resourcefulness,3
respect,3
restoration,3
reverence,3
richness,3
saint,3
self-respect,3
serenity,3
sincerity,3
splendor,3
success,3
sweetness,3
talent,3
thrill,3
triumph,3
trustworthiness,3
value,3
versatility,3
visionary,3
zest,3
merit,3
cornucopia,3
honour,3
epic,3
renown,3
hilarity,3
hilariousness,3
gumption,3
delightfulness,3
awesomeness,3
acumen,3
quality,2
aptitude,2
chivalry,2
friend,2
expert,2
mercy,2
moral,2
affirmation,2
adventure,2
advantage,2
advancement,2
abundance,2
appreciation,2
attraction,2
authenticity,2
bargain,2
blockbuster,2
bonus,2
boom,2
boost,2
candor,2
care,2
capability,2
charity,2
civility,2
cooperation,2
coordination,2
cohesion,2
collaboration,2
commemoration,2
commitment,2
compassion,2
competence,2
compliment,2
confidence,2
congratulation,2
conquest,2
conscience,2
consistency,2
contentment,2
continuity,2
contribution,2
cooperation,2
courage,2
credibility,2
decency,2
dependability,2
dexterity,2
dignity,2
distinction,2
dominance,2
durability,2
earnestness,2
effectiveness,2
efficacy,2
elegance,2
empathy,2
encouragement,2
endorsement,2
enhancement,2
enrichment,2
entertainment,2
enthusiasm,2
equality,2
excitement,2
fairness,2
faith,2
feast,2
feature,2
fellowship,2
fervor,2
fidelity,2
fitness,2
flair,2
foresight,2
fortune,2
freedom,2
friendship,2
fruition,2
gain,2
gallantry,2
generosity,2
gift,2
goodwill,2
goodness,2
gratitude,2
guarantee,2
happiness,2
harmony,2
haven,2
health,2
hero,2
heroine,2
highlight,2
hit,2
humor,2
ideal,2
idealism,2
imagination,2
importance,2
improvement,2
innocence,2
innovation,2
intensity,2
intrigue,2
jubilee,2
kindness,2
kudos,2
laugh,2
lover,2
luxury,2
master,2
merriment,2
miracle,2
morality,2
notoriety,2
paradise,2
passion,2
perfectionist,2
perseverance,2
popularity,2
positive,2
praise,2
prestige,2
pride,2
prodigy,2
profit,2
progress,2
prominence,2
promise,2
prosperity,2
provocation,2
prudence,2
purity,2
rapport,2
recommendation,2
reconciliation,2
recreation,2
refinement,2
reliability,2
relief,2
responsibility,2
reunion,2
reverent,2
reward,2
righteousness,2
romance,2
safety,2
sagacity,2
sage,2
sanctuary,2
satisfaction,2
scruples,2
security,2
sensation,2
shrewdness,2
significance,2
simplicity,2
silliness,2
skill,2
softness,2
solution,2
standout,2
superiority,2
surge,2
sweetheart,2
swiftness,2
sympathy,2
tact,2
taste,2
tenacity,2
tenderness,2
tolerance,2
tranquility,2
treat,2
tribute,2
uniqueness,2
unity,2
vastness,2
virtue,2
vitality,2
warmth,2
worth,2
gem,2
depth,2
goddess,2
stature,2
strength,2
smash,2
pioneer,2
glamour,2
best-seller,2
wit,2
fan,2
reliability,2
jewel,2
blessing,2
resurgence,2
experise,2
integrity,2
cinch,2
loyalty,2
poignancy,2
feat,2
loyalty,2
stand-out,2
lyricism,2
inventiveness,2
well-being,2
honesty,2
friendliness,2
graciousness,2
felicity,2
eloquence,2
elan,2
courageousness,2
accolade,2
victory,2
strides,2
breakthrough,2
interest,1
acceptance,1
ability,1
artist,1
aspiration,1
assistance,1
attune,1
augment,1
beacon,1
brotherhood,1
buzz,1
calm,1
captive,1
cheerfulness,1
chum,1
clarity,1
cleanliness,1
clearness,1
clout,1
closeness,1
comedy,1
comfort,1
community,1
companion,1
companionship,1
compensation,1
compromise,1
consent,1
content,1
conviction,1
correction,1
courtesy,1
credential,1
credit,1
crusade,1
culture,1
determination,1
diligence,1
discount,1
donation,1
dream,1
eagerness,1
ease,1
elaboration,1
empowerment,1
energy,1
enlightenment,1
ethic,1
etiquette,1
excitedness,1
familiarity,1
fantasy,1
favor,1
festivity,1
firmness,1
fondness,1
forceful,1
force,1
forgiveness,1
fortitude,1
gag,1
gladness,1
gleam,1
glitter,1
gratification,1
guardian,1
guarantee,1
heart,1
helper,1
homage,1
hope,1
impartiality,1
impetus,1
impression,1
independence,1
indispensabilty,1
intellect,1
intimacy,1
jest,1
joke,1
justice,1
laughter,1
legitmacy,1
logic,1
luck,1
luster,1
magic,1
maturity,1
meditation,1
mirth,1
moderation,1
modernity,1
modesty,1
morale,1
motivation,1
multitude,1
nourishment,1
novelty,1
nutrient,1
obedience,1
opportunity,1
optimism,1
partner,1
partnership,1
patience,1
patriot,1
peace,1
perfectionism,1
plausibility,1
positiveness,1
positivity,1
posterity,1
precaution,1
precedent,1
prize,1
pro,1
productivity,1
professional,1
protection,1
purification,1
reassurance,1
reinforcement,1
relevancy,1
remedy,1
renovation,1
repentance,1
respite,1
resurrect,1
revival,1
riches,1
righteous,1
salutation,1
salvation,1
sanctity,1
sanity,1
semblance,1
sensitivity,1
seriousness,1
shelter,1
smile,1
solace,1
spell,1
stability,1
staunchness,1
steadiness,1
steadfastness,1
stimulation,1
substance,1
synthesis,1
temperance,1
thrift,1
toleration,1
trophy,1
truth,1
trust,1
understanding,1
usefulness,1
validity,1
variety,1
viability,1
welfare,1
willingness,1
humility,1
toughness,1
helpfulness,1
buddy,1
zaniness,1
impact,1
missteps,1
spontaneity,1
glow,1
nuances,1
protagonist,1
spirituality,1
fame,1
composure,1
power,1
convenience,1
perk,1
playfulness,1
peak,1
plus,1
esteem,1
help,1
flourish,1
balance,1
polish,1
diversity,1
humour,1
redemption,1
luckiness,1
constancy,1
coherence,1
benevolence,1
amusement,1
amicability,1
amiability,1
soundness,1
adaptability,1
