word,value
culminate,4
exalt,4
relish,4
revere,4
rock,4
adore,4
enthrall,4
exult,4
awe,4
fascinate,4
enthrall,4
enthral,4
elate,4
extol,3
sanctify,3
transcend,3
achieve,3
admire,3
amaze,3
cherish,3
commend,3
delight,3
devote,3
enchant,3
endear,3
energize,3
enjoy,3
entertain,3
excel,3
impress,3
innovate,3
keen,3
love,3
mesmerize,3
praise,3
prize,3
rave,3
rejoice,3
resound,3
respect,3
restore,3
revitalize,3
savor,3
succeed,3
surmount,3
surpass,3
thrive,3
triumph,3
marvel,3
uplift,3
capitivate,3
wow,3
thrill,3
won,3
vindicate,3
gladden,3
beautify,3
treasure,3
spellbind,3
spellbound,3
exhilarate,3
dazzle,3
gush,3
aid,2
amuse,2
applaud,2
appreciate,2
attract,2
bestow,2
boast,2
boost,2
care,2
caress,2
celebrate,2
charm,2
coordinate,2
collaborate,2
commemorate,2
compliment,2
congratulate,2
conquer,2
contribute,2
cooperate,2
create,2
credit,2
cultivate,2
dedicate,2
deserve,2
embrace,2
encourage,2
endorse,2
engage,2
enhance,2
enrich,2
evoke,2
facilitate,2
favor,2
fit,2
fulfill,2
gain,2
gladden,2
harmonize,2
heal,2
highlight,2
honor,2
illuminate,2
immerse,2
inspire,2
interest,2
intrigue,2
laugh,2
mesh,2
motivate,2
nurture,2
overcome,2
overcame,2
please,2
progress,2
prosper,2
purify,2
radiate,2
rally,2
reap,2
reconcile,2
redemption,2
refine,2
regal,2
renewal,2
repair,2
resolve,2
reunite,2
revel,2
reward,2
rival,2
sparkle,2
substantiate,2
sweeten,2
swoon,2
sympathize,2
trust,2
uplift,2
venerate,2
win,2
worth,2
esteem,2
invigorate,2
liberate,2
recommend,2
master,2
enoble,2
improve,2
outperform,2
outshine,2
pioneer,2
merit,2
bolster,2
extol,2
extoll,2
thank,2
refresh,2
profit,2
enliven,2
emancipate,2
approve,2
ameliorate,2
absolve,1
accept,1
affirm,1
alleviate,1
ameliorate,1
anticipate,1
appease,1
aspire,1
assist,1
befit,1
befriend,1
capture,1
cleanse,1
comfort,1
commune,1
communicate,1
compensate,1
compromise,1
condone,1
convince,1
counsel,1
crusade,1
dignify,1
donate,1
economize,1
elaborate,1
embellish,1
empower,1
enable,1
endow,1
enlighten,1
entrust,1
envision,1
establish,1
evolve,1
excite,1
experience,1
familiarize,1
flatter,1
forgive,1
fortify,1
foster,1
frolic,1
garnish,1
generate,1
gleam,1
glitter,1
glow,1
gratify,1
guide,1
harness,1
inform,1
inherit,1
jest,1
last,1
like,1
mediate,1
nominate,1
nourish,1
obey,1
offer,1
outwit,1
persevere,1
prevail,1
procrastinate,1
protect,1
purr,1
reactivate,1
reassure,1
reclaim,1
recline,1
reinstate,1
relax,1
relieve,1
remodel,1
renovate,1
repent,1
repose,1
rescue,1
revive,1
ripen,1
salute,1
satisfy,1
secure,1
share,1
signify,1
simplify,1
smile,1
spice,1
stabilize,1
standarize,1
stimulate,1
strut,1
subside,1
suffice,1
suit,1
support,1
tolerate,1
tribute,1
upgrade,1
outsmart,1
promote,1
cheer,1
empathize,1
rectify,1
supercharge,1
accommodate,1
multitask,1
accomplish,1
graduate,1
streamline,1
efficiency,1
bloom,1
earn,1
accomodate,1
soothe,1
edify,1
befriend,1
soften,1
felicitate,1
exonerate,1
exceed,1
demystify,1
value,1
titillate,1
reienforce,1
help,1
guarantee,1
complement,1
capitalize,1
award,1
attain,1
